run,baseline,round,d_acc,d_dk,d_de
off_open,linucb,1,0.0,-0.02495118472021779,0.001435101191423982
off_open,linucb,2,0.1071428571428571,0.010453259418961192,0.014249376669284164
off_open,linucb,3,0.25571428571428567,0.04028904938532857,0.0465710120160715
off_open,linucb,4,-0.2514285714285715,-0.11227145663375038,-0.04914388016420934
off_open,linucb,5,0.2955665024630542,0.08453549937084293,0.03769499571977086
off_open,linucb,6,0.21875,-0.003913853573944692,0.05043638334469858
off_open,linucb,7,-0.008051529790660261,-0.016835731738957888,-0.008701590231092071
off_open,linucb,8,0.5407523510971787,0.11520706536616386,0.07820591647884678
off_open,linucb,9,0.17444219066937117,0.0016866878126392676,0.025918207407582827
off_open,linucb,10,-0.04375000000000001,-0.0403693660352365,-0.021356879335285517
off_open,linucb,11,-0.04406130268199232,-0.08077092692601867,-0.03081958676990265
off_open,linucb,12,-0.1607142857142857,0.018634015581153907,-0.007263721189447403
off_open,linucb,13,-0.2871794871794872,-0.0960872381078691,-0.03009707027834746
off_open,linucb,14,-0.07058823529411762,0.010411870381628274,-0.0013884968940988673
off_open,linucb,15,0.3125,0.08548188470547974,0.018850377087327508
off_open,linucb,16,0.08039215686274509,0.025234162964218987,0.03118611140913946
off_open,linucb,17,-0.09961685823754785,-0.06810419356709273,0.001788409716317385
off_open,linucb,18,0.3458333333333333,0.08454803546607739,0.04189565736048145
off_open,linucb,19,0.2327935222672065,0.05315510382328008,0.012247051821511645
off_open,linucb,20,0.07130730050933787,-0.020171225551936067,-0.012156826349022543
off_open,linucb,21,0.030364372469635637,-0.04322586821067401,-0.002779773296186505
off_open,linucb,22,0.2767857142857143,0.01609042515305978,0.008887478068249965
off_open,linucb,23,0.014802631578947345,-0.013414700863360163,0.016120150680029144
off_open,linucb,24,0.020833333333333315,-0.0630699628547036,0.007040956329808057
off_open,linucb,25,0.26102941176470584,0.020178864604533733,0.032503420299323876
off_open,linucb,26,0.29435483870967744,0.034664677758864657,0.040635925065179185
off_open,linucb,27,0.2727272727272727,0.008991983573981115,-0.0010156479423099607
off_open,linucb,28,0.3286290322580645,0.0433370792269385,0.005134515120434363
off_open,linucb,29,0.14583333333333331,-0.04281483617992821,-0.02031717578524031
off_open,linucb,30,0.15833333333333333,0.02804207387977551,0.011361245877076376
off_open,linucb,31,-0.03977272727272729,-0.04677557886550751,-0.026572141894141726
off_open,linucb,32,-0.2599620493358634,-0.06575626261560494,-0.009925244417754608
off_open,linucb,33,0.375,0.07806937164146113,0.020809825152281886
off_open,linucb,34,-0.050403225806451624,-0.04689274386190487,-0.013686512870525885
off_open,linucb,35,0.5,0.0926639188007225,0.005999669629333987
off_open,linucb,36,0.4017857142857143,0.051841692400579356,0.00492800009589775
off_open,linucb,37,0.4411764705882353,0.01926440474871263,-0.001307061032643525
off_open,linucb,38,0.016227180527383367,-0.052872243040799835,-0.02613831870498884
off_open,linucb,39,-0.085972850678733,-0.03723489851532942,-0.029572944824619418
off_open,linucb,40,0.03749999999999998,-0.008590872196819921,-0.006655832519546823
off_open,linucb,41,-0.625,-0.1550290093995915,-0.05568142456920944
off_open,linucb,42,-0.12019230769230771,0.02688800259580787,0.006815245914923829
off_open,linucb,43,-0.28846153846153844,-0.06797580013326424,-0.027590367361702228
off_open,linucb,44,-0.28921568627450983,-0.030702665408970597,-0.04393523092395607
off_open,linucb,45,-0.1470588235294118,-0.03359299316067549,-0.009137873500080107
off_open,linucb,46,-0.00694444444444442,-0.0003130417155224885,0.014389559969508414
off_open,linucb,47,-0.125,-0.018213991193273715,-0.005121291279166773
off_open,linucb,48,0.3125,0.09608192798580231,0.051690886754048926
off_open,linucb,49,-0.3232758620689655,-0.04921648611940668,-0.024003033470603896
off_open,linucb,50,-0.21767241379310343,-0.06599095884294087,-0.03801235763235322
off_open,als,1,0.0,-0.008208080635681014,0.006554502059687328
off_open,als,2,0.0357142857142857,0.0075572480389163865,0.005187860193447746
off_open,als,3,0.3049450549450549,0.06766664189263849,0.046365441550452746
off_open,als,4,-0.14285714285714285,-0.07969313478338313,-0.04395994328395747
off_open,als,5,0.10344827586206895,0.01968043343176279,0.01999976384263147
off_open,als,6,0.2618534482758621,0.038497053716704616,0.04065194346980827
off_open,als,7,-0.025132275132275173,-0.027586841593394307,-0.01814684141033629
off_open,als,8,0.36881559220389803,0.08764431985496052,0.05264374021854634
off_open,als,9,0.1695402298850574,0.00895360140106094,0.028864858760514922
off_open,als,10,-0.04829545454545453,-0.06104339508087478,-0.016289578798983295
off_open,als,11,-0.0029985007496251548,-0.07051514623363586,-0.012096207427125083
off_open,als,12,0.1565934065934066,0.0549956769142623,0.02441692363794057
off_open,als,13,-0.03333333333333338,-0.030031396063487092,-0.010128543256271383
off_open,als,14,0.10833333333333334,0.018920764642606697,0.009536423491008528
off_open,als,15,0.2142857142857143,0.02714315149779009,0.02092789783000598
off_open,als,16,0.016666666666666663,-0.006783373446300173,0.007878247465360755
off_open,als,17,-0.17898193760262726,-0.09532050042757041,-0.027644426402037625
off_open,als,18,0.34285714285714286,0.08746975338935925,0.05001839357337107
off_open,als,19,0.32051282051282054,0.06247443816652652,0.026485959843727425
off_open,als,20,-0.06290322580645163,-0.04909837576714657,-0.019802998616991085
off_open,als,21,-0.21906354515050164,-0.08702526850806888,-0.031292966045553094
off_open,als,22,0.01428571428571429,0.004272944470755963,-0.005816507396301962
off_open,als,23,-0.08806818181818177,-0.030878033008243683,-0.009823114834873692
off_open,als,24,-0.14666666666666667,-0.054041309952123015,-0.005748063084281052
off_open,als,25,0.03749999999999998,0.01004060344175374,0.0151682981951054
off_open,als,26,0.20882852292020376,0.05456677724355863,0.035719942051869735
off_open,als,27,-0.06060606060606061,-0.021899113271868678,0.012289165708239902
off_open,als,28,0.2161290322580645,0.07545842010915169,0.02885420057763649
off_open,als,29,0.08333333333333331,-0.019627396605487332,-0.022090153093171305
off_open,als,30,0.23333333333333334,0.058046109106487304,0.017372574497931392
off_open,als,31,-0.09569377990430622,-0.05366327230339653,-0.024125867665157785
off_open,als,32,-0.08909370199692779,-0.04322709189834667,0.0004850424513070384
off_open,als,33,0.2142857142857143,0.06360879540052053,0.011130523898045475
off_open,als,34,-0.04147465437788017,-0.03763131829994326,-0.015270680229011402
off_open,als,35,0.25,0.07250303514755764,0.0009293367125222107
off_open,als,36,0.2642857142857143,0.047820767057278946,0.015515715099367111
off_open,als,37,0.34210526315789475,0.018876400166392138,0.008433756636453238
off_open,als,38,0.010344827586206917,-0.0328789309602078,-0.020990314888585437
off_open,als,39,-0.015384615384615385,-0.02209157707867343,-0.017923497976960523
off_open,als,40,0.09999999999999998,-0.002235274750616606,0.0061878555936155655
off_open,als,41,-0.36111111111111116,-0.09226311594618639,-0.04203677495273028
off_open,als,42,0.1923076923076923,0.07095140810618714,0.016386767324939988
off_open,als,43,-0.10989010989010983,-0.043941417869571564,-0.01936842656346499
off_open,als,44,-0.12878787878787873,0.0035937383999440076,-0.02910286803165746
off_open,als,45,-0.11904761904761907,-0.05870817682244622,-0.01586579042483821
off_open,als,46,0.13450292397660824,0.015658762978528418,0.02490267107698141
off_open,als,47,-0.16666666666666663,-0.042957028441629436,-0.03072297167670679
off_open,als,48,0.26136363636363635,0.08150017884246841,0.04218139196168591
off_open,als,49,-0.09827586206896555,-0.010350735545177292,-0.012181657374640054
off_open,als,50,-0.03612479474548436,-0.03858947657159953,-0.002376061328080381
off_open,fixed,1,0.0,-0.022852852072066554,0.0012595701653574931
off_open,fixed,2,0.1071428571428571,0.013928810403664948,0.013834669979146175
off_open,fixed,3,0.25571428571428567,0.04557551631958662,0.046705434603628304
off_open,fixed,4,-0.1314285714285715,-0.07111989507830613,-0.038072970544873685
off_open,fixed,5,0.27969348659003834,0.07925517173398966,0.04320282582406232
off_open,fixed,6,0.24147727272727273,0.00016985009024189646,0.04214617974506907
off_open,fixed,7,-0.07870370370370372,-0.044635220555647975,-0.016770149431047265
off_open,fixed,8,0.28185907046476755,0.07144109593936429,0.034747136904894615
off_open,fixed,9,0.20525451559934316,0.020116201267171063,0.023240237282314946
off_open,fixed,10,0.07291666666666669,-0.04089534014207749,-0.0038827159652744525
off_open,fixed,11,-0.005172413793103403,-0.08075695528915139,-0.01788295162900322
off_open,fixed,12,0.11134453781512604,0.052891044570075985,0.025631686158012312
off_open,fixed,13,0.05087719298245613,-0.01584245745064175,0.0024686780651346774
off_open,fixed,14,0.15000000000000002,0.01712888676008134,0.01980003229054128
off_open,fixed,15,0.34210526315789475,0.04313820999902343,0.029380260173126005
off_open,fixed,16,0.033333333333333326,-0.022180959803697345,0.018531942087884112
off_open,fixed,17,-0.2662835249042146,-0.11006844372445762,-0.030639065505727647
off_open,fixed,18,0.2,0.06364813467130599,0.03893603399259049
off_open,fixed,19,0.32051282051282054,0.07908633915540572,0.039444163591010106
off_open,fixed,20,0.10931899641577059,-0.025512615554576012,-0.010179251590162697
off_open,fixed,21,0.06837606837606836,-0.027191091524261607,-0.01271341014315075
off_open,fixed,22,0.05252100840336138,-0.017076619403050525,-0.011183694576237635
off_open,fixed,23,0.014802631578947345,-0.016381237284905065,0.004669323933394864
off_open,fixed,24,-0.019607843137254943,-0.04528126587101709,-0.002758869415143861
off_open,fixed,25,0.26102941176470584,0.036166935851697654,0.021451059710244386
off_open,fixed,26,0.2428842504743833,0.04068026302512073,0.0269189872137717
off_open,fixed,27,0.213903743315508,-0.0015784561631574656,0.001711938836745891
off_open,fixed,28,0.34946236559139787,0.04485277841062794,0.009805337414424464
off_open,fixed,29,0.20833333333333331,-0.03365000545236274,-0.015071920657016152
off_open,fixed,30,0.4156862745098039,0.05202360846265099,0.020270931509247914
off_open,fixed,31,-0.10227272727272729,-0.07870044846349632,-0.0346950302895917
off_open,fixed,32,-0.050403225806451624,-0.031603078907159896,-0.0013083207872019165
off_open,fixed,33,0.125,0.035362458874311,0.0015414491714385303
off_open,fixed,34,-0.17540322580645162,-0.06524992861152941,-0.01706912360966789
off_open,fixed,35,0.5,0.11056840850006719,0.019983344429334193
off_open,fixed,36,0.4017857142857143,0.06213930265114929,0.004823654291663176
off_open,fixed,37,0.4375,0.025385448552363497,-0.0017867407783599965
off_open,fixed,38,-0.07854406130268199,-0.06566298458547361,-0.03430230931932074
off_open,fixed,39,0.07211538461538464,-0.010782765325063226,-0.02568035419464343
off_open,fixed,40,0.22499999999999998,0.013726254985369682,0.010586800159319343
off_open,fixed,41,-0.5147058823529411,-0.13857130363070108,-0.05985100651879999
off_open,fixed,42,0.04524886877828049,0.028706363249874578,0.012259705910665941
off_open,fixed,43,-0.18552036199095023,-0.06069520888564331,-0.023778239723205197
off_open,fixed,44,-0.1715686274509804,-0.018187991705492013,-0.03939693955265433
off_open,fixed,45,-0.0625,-0.03471637409829914,-0.010011351435181393
off_open,fixed,46,-0.3194444444444444,-0.056745983641035225,-0.014174400679094423
off_open,fixed,47,-0.02941176470588236,0.0035776412817061787,0.010424892419162612
off_open,fixed,48,0.1875,0.077655979322128,0.0453516695298522
off_open,fixed,49,-0.07327586206896552,0.0023852951122217136,-0.008127527545636837
off_open,fixed,50,-0.030172413793103425,-0.03903935421900806,-0.003219806913645651
