round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,adaptive,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.11600000000000002,0.5700000000000001,0.096,0.7,0.8,0.7,0.3,0.582226390728456,0.7942931147495573,0.7,0.31413770500885524,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,adaptive,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.122,0.49000000000000005,0.09200000000000001,0.582226390728456,0.7942931147495573,0.7,0.31413770500885524,0.29827683400870847,0.7164547101256455,0.6749999999999999,0.3317680924782357,0.5,15.588020971701951,1.7325678846898929,1.0,0.25322532653808594,0.375,0.7749999999999999,0.5,0.375,0.7749999999999999,0.5
3,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1265,0.43000000000000005,0.08900000000000001,0.29827683400870847,0.7164547101256455,0.6749999999999999,0.3317680924782357,0.26039879124971654,0.7094323507859857,0.6749999999999999,0.3154471867931986,0.5,12.088263777930537,3.307485302786624,1.0,0.029167860746383667,0.40625,0.8312499999999999,0.5,0.40625,0.8312499999999999,0.5
4,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.12987500000000002,0.38500000000000006,0.08675000000000001,0.26039879124971654,0.7094323507859857,0.6749999999999999,0.3154471867931986,0.23113100580420964,0.7018560222851967,0.6749999999999999,0.32652657001577984,0.5,12.135975032169277,3.4614121750186104,1.0,0.05809333920478821,0.4296875,0.8734375,0.5,0.4296875,0.8734375,0.5
5,adaptive,128471,user_128471,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.13240625000000003,0.35125,0.0850625,0.23113100580420964,0.7018560222851967,0.6749999999999999,0.32652657001577984,0.41169896588054256,0.7646596329732385,0.7,0.3439277862391674,0.5,11.177778612717216,10.236816400135481,1.0,0.07300257682800293,0.572265625,0.905078125,0.5,0.572265625,0.905078125,0.5
6,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1343046875,0.32593750000000005,0.083796875,0.41169896588054256,0.7646596329732385,0.7,0.3439277862391674,0.36711740495236056,0.7556105277341082,0.7,0.3809821047826061,0.5,15.477400565136533,2.1838258277507445,1.0,0.17040419578552246,0.55419921875,0.9288085937499999,0.5,0.55419921875,0.9288085937499999,0.5
7,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13572851562500002,0.30695312500000005,0.08284765625000001,0.36711740495236056,0.7556105277341082,0.7,0.3809821047826061,0.31886954559517633,0.7455654358326829,0.7,0.40090183802850665,0.5,14.247141165118615,0.23632654107983275,1.0,0.006049394607543945,0.5406494140625,0.9466064453124999,0.5,0.5406494140625,0.9466064453124999,0.5
8,adaptive,128471,user_128471,zpd,advancing,6,1,1,0.16666666666666666,,,,,,6,0.13679638671875002,0.29271484375000006,0.08213574218750001,0.31886954559517633,0.7455654358326829,0.7,0.40090183802850665,0.40240298857054846,0.807134975206609,0.725,0.3936092125214771,0.25,13.576114778208881,4.772087492625571,1.0,0.017894744873046875,0.655487060546875,0.959954833984375,0.5,0.655487060546875,0.959954833984375,0.5
9,adaptive,128471,user_128471,zpd,advancing,6,2,0,0.3333333333333333,,,,,,6,0.13759729003906251,0.2820361328125,0.081601806640625,0.40240298857054846,0.807134975206609,0.725,0.3936092125214771,0.17995478393746162,0.7261369393381455,0.7,0.41996071736927,0.5,12.467694065366704,2.7098024542878005,1.0,0.06749790906906128,0.49161529541015625,0.9699661254882812,0.5,0.49161529541015625,0.9699661254882812,0.5
10,adaptive,128471,user_128471,zpd,advancing,6,1,0,0.16666666666666666,,,,,,6,0.1381979675292969,0.27402709960937505,0.08120135498046877,0.17995478393746162,0.7261369393381455,0.7,0.41996071736927,0.07634605169498458,0.6444966308547866,0.6749999999999999,0.40780616966717737,0.25,14.208554254651817,1.167566430845654,1.0,0.003576338291168213,0.3687114715576172,0.9774745941162108,0.5,0.3687114715576172,0.9774745941162108,0.5
11,adaptive,128471,user_128471,zpd,advancing,6,1,0,0.16666666666666666,,,,,,6,0.13864847564697266,0.2680203247070313,0.08090101623535156,0.07634605169498458,0.6444966308547866,0.6749999999999999,0.40780616966717737,0.0,0.5625165962852082,0.6499999999999999,0.38960069139156417,0.25,17.52329174108653,4.707249532054986,1.0,0.22347229719161987,0.2765336036682129,0.9831059455871581,0.5,0.2765336036682129,0.9831059455871581,0.5
12,adaptive,128471,user_128471,zpd,advancing,6,2,0,0.3333333333333333,,,,,,6,0.1389863567352295,0.2635152435302735,0.08067576217651368,0.0,0.5625165962852082,0.6499999999999999,0.38960069139156417,0.0,0.47841480990621665,0.6249999999999999,0.40703572757983025,0.5,12.08967335717409,1.4700905280090868,1.0,0.024114519357681274,0.20740020275115967,0.9873294591903686,0.5,0.20740020275115967,0.9873294591903686,0.5
13,adaptive,128471,user_128471,zpd,advancing,6,1,1,0.16666666666666666,,,,,,6,0.13923976755142214,0.2601364326477051,0.08050682163238526,0.0,0.47841480990621665,0.6249999999999999,0.40703572757983025,0.14108931944351114,0.5349745548510899,0.6499999999999999,0.4188051011025348,0.25,9.048865919103417,3.3226726927516093,1.0,0.0009586811065673828,0.40555015206336975,0.9904970943927764,0.5,0.40555015206336975,0.9904970943927764,0.5
14,adaptive,128471,user_128471,zpd,advancing,6,2,0,0.3333333333333333,,,,,,6,0.1394298256635666,0.25760232448577886,0.08038011622428895,0.14108931944351114,0.5349745548510899,0.6499999999999999,0.4188051011025348,0.0,0.4507431702787231,0.6249999999999999,0.4096276914473357,0.5,9.207960552388675,2.0258271290267165,1.0,0.004205644130706787,0.3041626140475273,0.9928728207945823,0.5,0.3041626140475273,0.9928728207945823,0.5
