round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,als,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.7,0.8,0.7,0.3,0.573387254535025,0.794761881012907,0.7,0.3047623797418605,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,als,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.573387254535025,0.794761881012907,0.7,0.3047623797418605,0.2819372271983089,0.7178381128897945,0.6749999999999999,0.3134753624622508,0.5,15.592708634335448,1.7121017952171227,1.0,,0.375,0.7749999999999999,0.5,0.375,0.7749999999999999,0.5
3,als,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.2819372271983089,0.7178381128897945,0.6749999999999999,0.3134753624622508,0.23173551988837685,0.7109391544673832,0.6749999999999999,0.31297916844822565,0.5,11.738692712108527,0.6994686017754993,1.0,,0.40625,0.8312499999999999,0.5,0.40625,0.8312499999999999,0.5
4,als,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.23173551988837685,0.7109391544673832,0.6749999999999999,0.31297916844822565,0.22875873280556724,0.7037868117141711,0.6749999999999999,0.31804685506424296,0.5,11.430956498228555,2.978345567128269,1.0,,0.4296875,0.8734375,0.5,0.4296875,0.8734375,0.5
5,als,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.22875873280556724,0.7037868117141711,0.6749999999999999,0.31804685506424296,0.025025921382989834,0.6257298298326472,0.6499999999999999,0.3111396376304758,0.5,11.747628607931462,2.6007455990996275,1.0,,0.322265625,0.905078125,0.5,0.322265625,0.905078125,0.5
6,als,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.025025921382989834,0.6257298298326472,0.6499999999999999,0.3111396376304758,0.0,0.5461723309133102,0.6249999999999999,0.3161499783867394,0.5,10.640311092540097,1.7177044399993893,1.0,,0.24169921875,0.9288085937499999,0.5,0.24169921875,0.9288085937499999,0.5
7,als,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.0,0.5461723309133102,0.6249999999999999,0.3161499783867394,0.12254038010826321,0.5369756561557206,0.6249999999999999,0.30893349515178975,0.5,10.806399015937567,1.3089374014750776,1.0,,0.3062744140625,0.9466064453124999,0.5,0.3062744140625,0.9466064453124999,0.5
8,als,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.12254038010826321,0.5369756561557206,0.6249999999999999,0.30893349515178975,0.13114925230898525,0.5269402910833605,0.6249999999999999,0.3257073014472013,0.5,7.532214130959124,1.2033070326600113,1.0,,0.354705810546875,0.959954833984375,0.5,0.354705810546875,0.959954833984375,0.5
9,als,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.13114925230898525,0.5269402910833605,0.6249999999999999,0.3257073014472013,0.0,0.4454461033166293,0.5999999999999999,0.3298837553346233,0.5,12.773268976207154,3.9770673792652413,1.0,,0.26602935791015625,0.9699661254882812,0.5,0.26602935791015625,0.9699661254882812,0.5
10,als,128471,user_128471,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.4454461033166293,0.5999999999999999,0.3298837553346233,0.12053133333507494,0.5057891460383879,0.6249999999999999,0.31813914556482914,0.25,8.329853605714083,1.4688995941711411,1.0,,0.4495220184326172,0.9774745941162108,0.5,0.4495220184326172,0.9774745941162108,0.5
11,als,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.12053133333507494,0.5057891460383879,0.6249999999999999,0.31813914556482914,0.0,0.4256892125359418,0.5999999999999999,0.3019986700489223,0.5,7.842924991261423,1.706787590351893,1.0,,0.3371415138244629,0.9831059455871581,0.5,0.3371415138244629,0.9831059455871581,0.5
12,als,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.0,0.4256892125359418,0.5999999999999999,0.3019986700489223,0.0,0.3447953505007035,0.5749999999999998,0.2928772407047649,0.5,10.721399519681425,1.3030549518340144,1.0,,0.25285613536834717,0.9873294591903686,0.5,0.25285613536834717,0.9873294591903686,0.5
13,als,128471,user_128471,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.3447953505007035,0.5749999999999998,0.2928772407047649,0.11608643199911839,0.40604805096546526,0.5999999999999999,0.2749459907047649,0.25,11.092073824996016,2.994416940581169,1.0,,0.4396421015262604,0.9904970943927764,0.5,0.4396421015262604,0.9904970943927764,0.5
14,als,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.11608643199911839,0.40604805096546526,0.5999999999999999,0.2749459907047649,0.16736593134813713,0.39572923980019414,0.5999999999999999,0.3063762233054219,0.5,9.53116684317874,1.1303180305303928,1.0,,0.4547315761446953,0.9928728207945823,0.5,0.4547315761446953,0.9928728207945823,0.5
15,als,128471,user_128471,zpd,advancing,5,2,2,0.4,,,,,,5,0.1,0.25,0.1,0.16736593134813713,0.39572923980019414,0.5999999999999999,0.3063762233054219,0.358328278885923,0.45613977984925513,0.6249999999999999,0.31678919901877955,0.5,9.811634572688195,2.7390984781294225,1.0,,0.5910486821085215,0.9946546155959367,0.5,0.5910486821085215,0.9946546155959367,0.5
16,als,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.358328278885923,0.45613977984925513,0.6249999999999999,0.31678919901877955,0.33255343197228354,0.44577918414899875,0.6249999999999999,0.3322119140051275,0.5,8.275457202831305,2.169867118440796,1.0,,0.5682865115813911,0.9959909616969526,0.5,0.5682865115813911,0.9959909616969526,0.5
17,als,128471,user_128471,zpd,advancing,5,2,2,0.4,,,,,,5,0.1,0.25,0.1,0.33255343197228354,0.44577918414899875,0.6249999999999999,0.3322119140051275,0.47961486017442645,0.5062395128869379,0.6499999999999999,0.3407934252412173,0.5,12.365795368476391,2.874281576415632,0.5,,0.6762148836860433,0.9969932212727144,0.5,0.6762148836860433,0.9969932212727144,0.5
18,als,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.47961486017442645,0.5062395128869379,0.6499999999999999,0.3407934252412173,0.4049625330080439,0.4968751452012871,0.6499999999999999,0.3372873537130166,0.5,13.240296322804113,1.5896193506013672,1.0,,0.6321611627645325,0.9977449159545357,0.5,0.6321611627645325,0.9977449159545357,0.5
19,als,128471,user_128471,zpd,advancing,5,2,2,0.4,,,,,,5,0.1,0.25,0.1,0.4049625330080439,0.4968751452012871,0.6499999999999999,0.3372873537130166,0.5338396835660922,0.5582363168686696,0.6749999999999999,0.34777656665235035,0.5,9.645178522476094,1.397898135479567,1.0,,0.7241208720733994,0.9983086869659018,0.5,0.7241208720733994,0.9983086869659018,0.5
