round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,fixed,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.7,0.8,0.7,0.3,0.6023966453356999,0.7930967372148698,0.7,0.33806525570260393,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,fixed,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.6023966453356999,0.7930967372148698,0.7,0.33806525570260393,0.3206315207351682,0.713654228803036,0.6749999999999999,0.3638501682366773,0.5,15.576057196355077,1.7848501556366572,1.0,0.26393401622772217,0.375,0.7749999999999999,0.5,0.375,0.7749999999999999,0.5
3,fixed,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.3206315207351682,0.713654228803036,0.6749999999999999,0.3638501682366773,0.2751116311986796,0.7033197994174697,0.6749999999999999,0.3816885877113253,0.5,11.696853871240942,0.7674421904463067,1.0,0.4210905432701111,0.40625,0.8312499999999999,0.5,0.40625,0.8312499999999999,0.5
4,fixed,128471,user_128471,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.2751116311986796,0.7033197994174697,0.6749999999999999,0.3816885877113253,0.1559881332983916,0.6223682896419458,0.6499999999999999,0.36903019551047594,0.25,11.35476294772942,3.1737405136964956,1.0,0.2737036347389221,0.3046875,0.8734375,0.5,0.3046875,0.8734375,0.5
5,fixed,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.1559881332983916,0.6223682896419458,0.6499999999999999,0.36903019551047594,0.0,0.5399185554989336,0.6249999999999999,0.37399468286024146,0.5,12.946954946514726,1.9807176620757336,1.0,0.41822126507759094,0.228515625,0.905078125,0.5,0.228515625,0.905078125,0.5
6,fixed,128471,user_128471,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.5399185554989336,0.6249999999999999,0.37399468286024146,0.11161110965398188,0.5997024814913975,0.6499999999999999,0.3543214801507223,0.25,7.424047725787552,2.3557665434495982,1.0,0.6859468221664429,0.42138671875,0.9288085937499999,0.5,0.42138671875,0.9288085937499999,0.5
7,fixed,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.11161110965398188,0.5997024814913975,0.6499999999999999,0.3543214801507223,0.0,0.5176608439504644,0.6249999999999999,0.36583275081865996,0.5,12.654527034233343,3.630829991360315,1.0,0.10617119073867798,0.3160400390625,0.9466064453124999,0.5,0.3160400390625,0.9466064453124999,0.5
8,fixed,128471,user_128471,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.5176608439504644,0.6249999999999999,0.36583275081865996,0.1147340336058045,0.5777278951191289,0.6499999999999999,0.3486589766267095,0.25,8.345866955403816,1.8035239478526652,1.0,0.07805681228637695,0.487030029296875,0.959954833984375,0.5,0.487030029296875,0.959954833984375,0.5
9,fixed,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.1147340336058045,0.5777278951191289,0.6499999999999999,0.3486589766267095,0.11574649497150331,0.5676042742322299,0.6499999999999999,0.3524724177379791,0.5,7.939736520593206,2.747217598258551,1.0,0.1207086443901062,0.49027252197265625,0.9699661254882812,0.5,0.49027252197265625,0.9699661254882812,0.5
10,fixed,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.11574649497150331,0.5676042742322299,0.6499999999999999,0.3524724177379791,0.0,0.4848928168984519,0.6249999999999999,0.3792291466755604,0.5,13.179908807695847,4.063305338821126,1.0,0.030429065227508545,0.3677043914794922,0.9774745941162108,0.5,0.3677043914794922,0.9774745941162108,0.5
