round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,adaptive,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.11600000000000002,0.5700000000000001,0.096,0.7,0.8,0.7,0.3,0.5677171981121687,0.794997177230546,0.7,0.3000564553890811,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,adaptive,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.122,0.49000000000000005,0.09200000000000001,0.5677171981121687,0.794997177230546,0.7,0.3000564553890811,0.27413809023285857,0.718532796176893,0.6749999999999999,0.30428762107305724,0.5,15.595061596511838,1.701833054573253,1.0,0.4187483787536621,0.375,0.7749999999999999,0.5,0.375,0.7749999999999999,0.5
3,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1265,0.43000000000000005,0.08900000000000001,0.27413809023285857,0.718532796176893,0.6749999999999999,0.30428762107305724,0.24196110281755065,0.7128690401232403,0.6749999999999999,0.2882751210730572,0.5,12.109044638443011,3.225904697940908,1.0,0.03864845633506775,0.40625,0.8312499999999999,0.5,0.40625,0.8312499999999999,0.5
4,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.12987500000000002,0.38500000000000006,0.08675000000000001,0.24196110281755065,0.7128690401232403,0.6749999999999999,0.2882751210730572,0.19327224868569895,0.7079711573944528,0.6749999999999999,0.27295765457574883,0.5,12.170341925541823,3.37835514909788,1.0,0.011945545673370361,0.4296875,0.8734375,0.5,0.4296875,0.8734375,0.5
5,adaptive,128471,user_128471,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.13240625000000003,0.35125,0.0850625,0.19327224868569895,0.7079711573944528,0.6749999999999999,0.27295765457574883,0.3517961790178132,0.7751238996656654,0.7,0.2569451545757488,0.5,11.238929963809777,9.995131190007253,1.0,0.0029432177543640137,0.572265625,0.905078125,0.5,0.572265625,0.905078125,0.5
6,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1343046875,0.32593750000000005,0.083796875,0.3517961790178132,0.7751238996656654,0.7,0.2569451545757488,0.27568067740249236,0.7729742347789386,0.7,0.24299329773453673,0.5,15.582043232060801,1.9738295207755983,1.0,0.0019989311695098877,0.55419921875,0.9288085937499999,0.5,0.55419921875,0.9288085937499999,0.5
7,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13572851562500002,0.30695312500000005,0.08284765625000001,0.27568067740249236,0.7729742347789386,0.7,0.24299329773453673,0.21435488138469647,0.7716270698922117,0.7,0.22694329773453675,0.5,14.42077823556692,0.2,1.0,0.0008564889430999756,0.5406494140625,0.9466064453124999,0.5,0.5406494140625,0.9466064453124999,0.5
8,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13679638671875002,0.29271484375000006,0.08213574218750001,0.21435488138469647,0.7716270698922117,0.7,0.22694329773453675,0.18759693893297955,0.7701551219739335,0.7,0.22943895836556383,0.5,13.836731118804169,4.178005384503723,1.0,0.3719199001789093,0.530487060546875,0.959954833984375,0.5,0.530487060546875,0.959954833984375,0.5
9,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13759729003906251,0.2820361328125,0.081601806640625,0.18759693893297955,0.7701551219739335,0.7,0.22943895836556383,0.18814707719766036,0.7686196727127008,0.7,0.23070898522465486,0.5,16.469582657604693,1.0610956134761291,1.0,0.022145956754684448,0.5228652954101562,0.9699661254882812,0.5,0.5228652954101562,0.9699661254882812,0.5
10,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1381979675292969,0.27402709960937505,0.08120135498046877,0.18814707719766036,0.7686196727127008,0.7,0.23070898522465486,0.180980633966395,0.7676924622830638,0.7,0.21854420859274187,0.5,12.119690142454534,3.1767580478050452,1.0,0.07780009508132935,0.5171489715576172,0.9774745941162108,0.5,0.5171489715576172,0.9774745941162108,0.5
11,adaptive,128471,user_128471,zpd,advancing,6,2,0,0.3333333333333333,,,,,,6,0.13864847564697266,0.2680203247070313,0.08090101623535156,0.180980633966395,0.7676924622830638,0.7,0.21854420859274187,0.0,0.6963276195861999,0.6749999999999999,0.20229685393727556,0.5,16.058379135057915,0.5971753065855548,1.0,0.0026278793811798096,0.3878617286682129,0.9831059455871581,0.5,0.3878617286682129,0.9831059455871581,0.5
