round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,adaptive,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.11600000000000002,0.5700000000000001,0.096,0.7,0.8,0.7,0.3,0.5881554809557729,0.7938531896442761,0.7,0.32293620711447896,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,adaptive,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.122,0.49000000000000005,0.09200000000000001,0.5881554809557729,0.7938531896442761,0.7,0.32293620711447896,0.44442797100091325,0.7884039721306128,0.7,0.3089843502732669,0.5,15.58362172064914,1.7517847126290338,1.0,0.22820883989334106,0.5,0.7749999999999999,0.5,0.5,0.7749999999999999,0.5
3,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1265,0.43000000000000005,0.08900000000000001,0.44442797100091325,0.7884039721306128,0.7,0.3089843502732669,0.3716767843560238,0.7835323194892313,0.7,0.29743305282763005,0.5,12.807756397980208,3.2398649694249984,1.0,0.03317883610725403,0.5,0.8312499999999999,0.5,0.5,0.8312499999999999,0.5
4,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.12987500000000002,0.38500000000000006,0.08675000000000001,0.3716767843560238,0.7835323194892313,0.7,0.29743305282763005,0.2884249070828281,0.7794544585062306,0.7,0.2815572196600144,0.5,12.876974719201733,3.4063792001776623,1.0,0.0027746856212615967,0.5,0.8734375,0.5,0.5,0.8734375,0.5
5,adaptive,128471,user_128471,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.13240625000000003,0.35125,0.0850625,0.2884249070828281,0.7794544585062306,0.7,0.2815572196600144,0.4220264424918769,0.8474290975232299,0.725,0.2655072196600144,0.5,11.953762974927555,10.034075039844417,1.0,0.02533075213432312,0.625,0.905078125,0.5,0.625,0.905078125,0.5
6,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1343046875,0.32593750000000005,0.083796875,0.4220264424918769,0.8474290975232299,0.725,0.2655072196600144,0.35581182948147905,0.8445488062499783,0.725,0.2826058254650327,0.5,16.30509521063645,1.9945031884547348,1.0,0.47771120071411133,0.59375,0.9288085937499999,0.5,0.59375,0.9288085937499999,0.5
7,adaptive,128471,user_128471,zpd,advancing,6,2,0,0.3333333333333333,,,,,,6,0.13572851562500002,0.30695312500000005,0.08284765625000001,0.35581182948147905,0.8445488062499783,0.725,0.2826058254650327,0.1486651154283613,0.7686423457958003,0.7,0.31812920908356046,0.5,15.136523950277315,0.2,1.0,0.055525004863739014,0.4453125,0.9466064453124999,0.5,0.4453125,0.9466064453124999,0.5
8,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13679638671875002,0.29271484375000006,0.08213574218750001,0.1486651154283613,0.7686423457958003,0.7,0.31812920908356046,0.17549953506890656,0.7607288495073424,0.7,0.3582699257691568,0.5,13.806883877840056,4.4914871948092125,1.0,0.03358682990074158,0.458984375,0.959954833984375,0.5,0.458984375,0.959954833984375,0.5
9,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13759729003906251,0.2820361328125,0.081601806640625,0.17549953506890656,0.7607288495073424,0.7,0.3582699257691568,0.192563339839568,0.7523107492676602,0.7,0.36836200479364456,0.5,16.37531993293878,1.2933083226768227,1.0,0.12941992282867432,0.46923828125,0.9699661254882812,0.5,0.46923828125,0.9699661254882812,0.5
10,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1381979675292969,0.27402709960937505,0.08120135498046877,0.192563339839568,0.7523107492676602,0.7,0.36836200479364456,0.21583370465741922,0.743005455789147,0.7,0.3861058695702646,0.5,11.956600908004127,3.5962981316461793,1.0,0.04766622185707092,0.4769287109375,0.9774745941162108,0.5,0.4769287109375,0.9774745941162108,0.5
