round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,fixed,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.7,0.8,0.7,0.3,0.5744653974861494,0.7945777695544187,0.7,0.3084446089116263,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,fixed,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.5744653974861494,0.7945777695544187,0.7,0.3084446089116263,0.2992957949060183,0.7166013111609368,0.6749999999999999,0.33452916786963605,0.5,15.590867519750566,1.7201386925690128,1.0,0.24346384406089783,0.375,0.7749999999999999,0.5,0.375,0.7749999999999999,0.5
3,fixed,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.2992957949060183,0.7166013111609368,0.6749999999999999,0.33452916786963605,0.27683334249276514,0.706762011676516,0.6749999999999999,0.3717859896884188,0.5,11.72632469481995,0.7277072675358542,1.0,0.050470560789108276,0.40625,0.8312499999999999,0.5,0.40625,0.8312499999999999,0.5
4,fixed,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.27683334249276514,0.706762011676516,0.6749999999999999,0.3717859896884188,0.08679589576224182,0.6242287507961904,0.6499999999999999,0.4006652176065076,0.5,11.389185070319883,3.145649541963801,1.0,0.012984544038772583,0.3046875,0.8734375,0.5,0.3046875,0.8734375,0.5
5,fixed,128471,user_128471,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.08679589576224182,0.6242287507961904,0.6499999999999999,0.4006652176065076,0.005540984032933718,0.541040946945753,0.6249999999999999,0.38875607700874637,0.25,10.952047998751656,2.820638048937134,1.0,0.029964566230773926,0.228515625,0.905078125,0.5,0.228515625,0.905078125,0.5
6,fixed,128471,user_128471,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.005540984032933718,0.541040946945753,0.6249999999999999,0.38875607700874637,0.0,0.4569594282535866,0.5999999999999999,0.3816303738433277,0.25,7.435271640255745,2.3921632971093745,1.0,0.014343321323394775,0.17138671875,0.9288085937499999,0.5,0.17138671875,0.9288085937499999,0.5
7,fixed,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.0,0.4569594282535866,0.5999999999999999,0.3816303738433277,0.0,0.3706228860084754,0.5749999999999998,0.4017308449022232,0.5,11.227096501855236,3.7141922427067002,1.0,0.01637229323387146,0.1285400390625,0.9466064453124999,0.5,0.1285400390625,0.9466064453124999,0.5
8,fixed,128471,user_128471,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.3706228860084754,0.5749999999999998,0.4017308449022232,0.11542337266882424,0.426392423649139,0.5999999999999999,0.38460924718672906,0.25,6.875487375983926,1.8812825709480618,1.0,0.005396127700805664,0.346405029296875,0.959954833984375,0.5,0.346405029296875,0.959954833984375,0.5
9,fixed,128471,user_128471,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.11542337266882424,0.426392423649139,0.5999999999999999,0.38460924718672906,0.22414642071937407,0.4837308201429401,0.6249999999999999,0.37823207012397764,0.25,6.426381805893307,2.843955531801961,1.0,0.016904115676879883,0.5098037719726562,0.9699661254882812,0.5,0.5098037719726562,0.9699661254882812,0.5
10,fixed,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.22414642071937407,0.4837308201429401,0.6249999999999999,0.37823207012397764,0.22457247195706898,0.47110036030527325,0.6249999999999999,0.3776091967533367,0.5,13.122953830459442,7.421926646855674,1.0,0.0023781955242156982,0.5073528289794922,0.9774745941162108,0.5,0.5073528289794922,0.9774745941162108,0.5
11,fixed,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.22457247195706898,0.47110036030527325,0.6249999999999999,0.3776091967533367,0.24792174039990872,0.4568841148314597,0.6249999999999999,0.4093249094762703,0.5,9.704052294820334,2.3756478889232064,1.0,9.936094284057617e-05,0.5055146217346191,0.9831059455871581,0.5,0.5055146217346191,0.9831059455871581,0.5
12,fixed,128471,user_128471,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.24792174039990872,0.4568841148314597,0.6249999999999999,0.4093249094762703,0.148848066310438,0.371135794549874,0.5999999999999999,0.41496640563171366,0.25,12.195875583053937,5.130772193256046,1.0,0.00011664628982543945,0.37913596630096436,0.9873294591903686,0.5,0.37913596630096436,0.9873294591903686,0.5
