round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,linucb,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.7,0.8,0.7,0.3,0.5985300103702695,0.793248120262253,0.7,0.33503759475494005,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,linucb,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.5985300103702695,0.793248120262253,0.7,0.33503759475494005,0.3117599554303723,0.7143095126113069,0.6749999999999999,0.35377215301892156,0.5,15.577571026828908,1.7782308151213755,1.0,,0.375,0.7749999999999999,0.5,0.375,0.7749999999999999,0.5
3,linucb,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.3117599554303723,0.7143095126113069,0.6749999999999999,0.35377215301892156,0.27146528643592954,0.7044142900114014,0.6749999999999999,0.3729044519981101,0.5,11.703406709323652,0.7537323476350628,1.0,,0.40625,0.8312499999999999,0.5,0.40625,0.8312499999999999,0.5
4,linucb,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.27146528643592954,0.7044142900114014,0.6749999999999999,0.3729044519981101,0.26871895638475246,0.6937639834404682,0.6749999999999999,0.38800613141866563,0.5,11.365707853668738,3.1488234561665696,1.0,,0.4296875,0.8734375,0.5,0.4296875,0.8734375,0.5
5,linucb,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.26871895638475246,0.6937639834404682,0.6749999999999999,0.38800613141866563,0.09521955603870137,0.6098276086354032,0.6499999999999999,0.428727496101298,0.5,11.647400325194432,2.7870074546403156,1.0,,0.322265625,0.905078125,0.5,0.322265625,0.905078125,0.5
6,linucb,128471,user_128471,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.09521955603870137,0.6098276086354032,0.6499999999999999,0.428727496101298,0.019894635352599437,0.5243227223961043,0.6249999999999999,0.4350977247859765,0.25,10.481288880567657,1.974611869444917,1.0,,0.24169921875,0.9288085937499999,0.5,0.24169921875,0.9288085937499999,0.5
7,linucb,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.019894635352599437,0.5243227223961043,0.6249999999999999,0.4350977247859765,0.0,0.43658851659089914,0.5999999999999999,0.454684116104104,0.5,9.839121036206338,2.860396196161335,1.0,,0.1812744140625,0.9466064453124999,0.5,0.1812744140625,0.9466064453124999,0.5
8,linucb,128471,user_128471,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.43658851659089914,0.5999999999999999,0.454684116104104,0.0,0.3483097800843884,0.5749999999999998,0.44057473013021425,0.25,10.71504079157267,6.114428049353555,1.0,,0.135955810546875,0.959954833984375,0.5,0.135955810546875,0.959954833984375,0.5
9,linucb,128471,user_128471,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.3483097800843884,0.5749999999999998,0.44057473013021425,0.0,0.258675730290307,0.5499999999999998,0.44268099588162807,0.25,10.08619248551111,2.13443113493799,1.0,,0.10196685791015625,0.9699661254882812,0.5,0.10196685791015625,0.9699661254882812,0.5
10,linucb,128471,user_128471,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.258675730290307,0.5499999999999998,0.44268099588162807,0.12814247793618783,0.3106720177567419,0.5749999999999998,0.4350742506713016,0.25,12.967668554523026,3.303524344642696,1.0,,0.3264751434326172,0.9774745941162108,0.5,0.3264751434326172,0.9774745941162108,0.5
