round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,adaptive,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.11600000000000002,0.5700000000000001,0.096,0.7,0.8,0.7,0.3,0.5823076701729752,0.7942879535619322,0.7,0.31424092876135745,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,adaptive,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.122,0.49000000000000005,0.09200000000000001,0.5823076701729752,0.7942879535619322,0.7,0.31424092876135745,0.31456059530987174,0.7154459693523485,0.6749999999999999,0.3518396841916737,0.5,15.587969359825701,1.7327932804900426,1.0,0.10973286628723145,0.375,0.7749999999999999,0.5,0.375,0.7749999999999999,0.5
3,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1265,0.43000000000000005,0.08900000000000001,0.31456059530987174,0.7154459693523485,0.6749999999999999,0.3518396841916737,0.31472010814992885,0.7050088314763331,0.6749999999999999,0.38374275752030834,0.5,12.078176370197566,3.366921498757188,1.0,0.05035999417304993,0.40625,0.8312499999999999,0.5,0.40625,0.8312499999999999,0.5
4,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.12987500000000002,0.38500000000000006,0.08675000000000001,0.31472010814992885,0.7050088314763331,0.6749999999999999,0.38374275752030834,0.2894756522754877,0.6931519431020452,0.6749999999999999,0.4121377674857577,0.5,12.091739839072751,3.6690056110060176,1.0,0.9779651761054993,0.4296875,0.8734375,0.5,0.4296875,0.8734375,0.5
5,adaptive,128471,user_128471,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.13240625000000003,0.35125,0.0850625,0.2894756522754877,0.6931519431020452,0.6749999999999999,0.4121377674857577,0.46467876559510707,0.7512587627650489,0.7,0.43786360673992886,0.5,11.0907378208857,10.618709300388268,1.0,0.08944842219352722,0.572265625,0.905078125,0.5,0.572265625,0.905078125,0.5
6,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1343046875,0.32593750000000005,0.083796875,0.46467876559510707,0.7512587627650489,0.7,0.43786360673992886,0.3864103204170394,0.7389401587267779,0.7,0.4463720807654206,0.5,15.343391863054638,2.4105432363406316,1.0,0.10059615969657898,0.55419921875,0.9288085937499999,0.5,0.55419921875,0.9288085937499999,0.5
7,adaptive,128471,user_128471,zpd,advancing,6,1,1,0.16666666666666666,,,,,,6,0.13572851562500002,0.30695312500000005,0.08284765625000001,0.3864103204170394,0.7389401587267779,0.7,0.4463720807654206,0.44923194138469846,0.798585403930751,0.725,0.43209509592053824,0.25,14.080437475045311,0.2820417888032582,1.0,0.013570010662078857,0.6656494140625,0.9466064453124999,0.5,0.6656494140625,0.9466064453124999,0.5
8,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13679638671875002,0.29271484375000006,0.08213574218750001,0.44923194138469846,0.798585403930751,0.725,0.43209509592053824,0.4086885516068321,0.7871472079702835,0.725,0.4537639192093481,0.5,13.932826288409077,0.5882840996540801,1.0,0.023499339818954468,0.624237060546875,0.959954833984375,0.5,0.624237060546875,0.959954833984375,0.5
9,adaptive,128471,user_128471,zpd,advancing,6,1,0,0.16666666666666666,,,,,,6,0.13759729003906251,0.2820361328125,0.081601806640625,0.4086885516068321,0.7871472079702835,0.725,0.4537639192093481,0.26891056312920686,0.7053918701951094,0.7,0.4351067555034801,0.25,12.267816393003448,2.866860592339564,1.0,0.039384543895721436,0.46817779541015625,0.9699661254882812,0.5,0.46817779541015625,0.9699661254882812,0.5
10,adaptive,128471,user_128471,zpd,advancing,6,1,1,0.16666666666666666,,,,,,6,0.1381979675292969,0.27402709960937505,0.08120135498046877,0.26891056312920686,0.7053918701951094,0.7,0.4351067555034801,0.37947015355247016,0.7639115324396855,0.725,0.4546067551084801,0.25,9.95259183981883,2.485224256332565,1.0,0.047689080238342285,0.6011333465576172,0.9774745941162108,0.5,0.6011333465576172,0.9774745941162108,0.5
