round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,adaptive,128471,user_128471,zpd,advancing,5,2,1,0.4,,,,,,5,0.11600000000000002,0.5700000000000001,0.096,0.7,0.8,0.7,0.3,0.5999233611196616,0.7931031031789425,0.7,0.3379379364211519,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,adaptive,128471,user_128471,zpd,advancing,5,2,0,0.4,,,,,,5,0.122,0.49000000000000005,0.09200000000000001,0.5999233611196616,0.7931031031789425,0.7,0.3379379364211519,0.3110785633889373,0.7139986149902936,0.6749999999999999,0.35708976377297846,0.5,15.576120855995804,1.784571776901083,1.0,0.39621904492378235,0.375,0.7749999999999999,0.5,0.375,0.7749999999999999,0.5
3,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1265,0.43000000000000005,0.08900000000000001,0.3110785633889373,0.7139986149902936,0.6749999999999999,0.35708976377297846,0.2744936785470662,0.7054840711338711,0.6749999999999999,0.3452908771284492,0.5,12.063702826577016,3.3824478151435295,1.0,0.013303935527801514,0.40625,0.8312499999999999,0.5,0.40625,0.8312499999999999,0.5
4,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.12987500000000002,0.38500000000000006,0.08675000000000001,0.2744936785470662,0.7054840711338711,0.6749999999999999,0.3452908771284492,0.22460862237624568,0.6974551241752014,0.6749999999999999,0.33557893917339654,0.5,12.096492235648132,3.5523248641894813,1.0,0.0012994706630706787,0.4296875,0.8734375,0.5,0.4296875,0.8734375,0.5
5,adaptive,128471,user_128471,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.13240625000000003,0.35125,0.0850625,0.22460862237624568,0.6974551241752014,0.6749999999999999,0.33557893917339654,0.3882241464111386,0.7608941465171241,0.7,0.33121955316154805,0.5,11.133769631617263,10.27744685877091,1.0,0.264446496963501,0.572265625,0.905078125,0.5,0.572265625,0.905078125,0.5
6,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1343046875,0.32593750000000005,0.083796875,0.3882241464111386,0.7608941465171241,0.7,0.33121955316154805,0.3243972963834222,0.753907745157772,0.7,0.3397280271870398,0.5,15.43974570057539,2.1531490532344115,1.0,0.13629019260406494,0.55419921875,0.9288085937499999,0.5,0.55419921875,0.9288085937499999,0.5
7,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13572851562500002,0.30695312500000005,0.08284765625000001,0.3243972963834222,0.753907745157772,0.7,0.3397280271870398,0.28595679395680323,0.7459253571361251,0.7,0.3596477604329404,0.5,14.230113339355253,0.20908060105683665,1.0,0.02259957790374756,0.5406494140625,0.9466064453124999,0.5,0.5406494140625,0.9466064453124999,0.5
8,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13679638671875002,0.29271484375000006,0.08213574218750001,0.28595679395680323,0.7459253571361251,0.7,0.3596477604329404,0.2547707686803745,0.7373052205979115,0.7,0.37240273076427166,0.5,13.579713991243302,4.632673704927366,1.0,0.012350678443908691,0.530487060546875,0.959954833984375,0.5,0.530487060546875,0.959954833984375,0.5
9,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13759729003906251,0.2820361328125,0.081601806640625,0.2547707686803745,0.7373052205979115,0.7,0.37240273076427166,0.2551020308858713,0.7279001748579402,0.7,0.38810091479942455,0.5,16.14108364384447,1.3191161486252259,1.0,0.02622431516647339,0.5228652954101562,0.9699661254882812,0.5,0.5228652954101562,0.9699661254882812,0.5
10,adaptive,128471,user_128471,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1381979675292969,0.27402709960937505,0.08120135498046877,0.2551020308858713,0.7279001748579402,0.7,0.38810091479942455,0.2615746652248434,0.7176815975619495,0.7,0.40437154591981406,0.5,11.712495163906928,3.655910034405752,1.0,0.0003133118152618408,0.5171489715576172,0.9774745941162108,0.5,0.5171489715576172,0.9774745941162108,0.5
