round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,adaptive,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.11600000000000002,0.5700000000000001,0.096,0.7,0.8,0.7,0.3,0.5773578735149014,0.7943554073233406,0.7,0.31289185353318755,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,adaptive,11285,user_11285,zpd,advancing,5,2,2,0.4,,,,,,5,0.122,0.49000000000000005,0.09200000000000001,0.5773578735149014,0.7943554073233406,0.7,0.31289185353318755,0.629113208108899,0.8609385399846844,0.725,0.29333734677312545,0.5,15.588643897439786,1.7298475910740425,1.0,0.008230030536651611,0.625,0.7749999999999999,0.5,0.625,0.7749999999999999,0.5
3,adaptive,11285,user_11285,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.1265,0.43000000000000005,0.08900000000000001,0.629113208108899,0.8609385399846844,0.725,0.29333734677312545,0.6813279246612495,0.9291572083652849,0.75,0.2856266323879903,0.5,13.533102076520924,3.1933286137067003,1.0,0.05622705817222595,0.71875,0.8312499999999999,0.5,0.71875,0.8312499999999999,0.5
4,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.12987500000000002,0.38500000000000006,0.08675000000000001,0.6813279246612495,0.9291572083652849,0.75,0.2856266323879903,0.559639458967426,0.9258005723787899,0.75,0.3171327197299006,0.5,14.33322360796227,3.3702445823623544,1.0,0.24679771065711975,0.6640625,0.8734375,0.5,0.6640625,0.8734375,0.5
5,adaptive,11285,user_11285,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.13240625000000003,0.35125,0.0850625,0.559639458967426,0.9258005723787899,0.75,0.3171327197299006,0.6837609593064269,0.9911517942580842,0.775,0.36797556241411594,0.5,13.417224113653148,10.194589406138604,1.0,0.26938655972480774,0.748046875,0.905078125,0.5,0.748046875,0.905078125,0.5
6,adaptive,11285,user_11285,zpd,advancing,6,3,1,0.5,,,,,,6,0.1343046875,0.32593750000000005,0.083796875,0.6837609593064269,0.9911517942580842,0.775,0.36797556241411594,0.4005120724488081,0.9617052474033119,0.7666666666666667,0.38893093709544474,0.75,17.74232217798499,2.241872067245689,1.0,0.06507223844528198,0.6443684895833334,0.9288085937499999,0.5,0.6443684895833334,0.9288085937499999,0.5
7,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13572851562500002,0.30695312500000005,0.08284765625000001,0.4005120724488081,0.9617052474033119,0.7666666666666667,0.38893093709544474,0.3567019013968757,0.9556275406046681,0.7666666666666667,0.3882208026395412,0.5,14.826019570872534,1.8535384710314073,1.0,0.005414724349975586,0.6082763671875,0.9466064453124999,0.5,0.6082763671875,0.9466064453124999,0.5
8,adaptive,11285,user_11285,zpd,advancing,6,3,0,0.5,,,,,,6,0.13679638671875002,0.29271484375000006,0.08213574218750001,0.3567019013968757,0.9556275406046681,0.7666666666666667,0.3882208026395412,0.02788296870425197,0.8778665580789301,0.7416666666666667,0.39688631718142525,0.75,20.482759631017252,2.3471118366534607,1.0,0.014023542404174805,0.456207275390625,0.959954833984375,0.5,0.456207275390625,0.959954833984375,0.5
9,adaptive,11285,user_11285,zpd,advancing,6,1,1,0.16666666666666666,,,,,,6,0.13759729003906251,0.2820361328125,0.081601806640625,0.02788296870425197,0.8778665580789301,0.7416666666666667,0.39688631718142525,0.1393502928003288,0.9422583880531922,0.7666666666666667,0.37883006718142526,0.25,14.932455477958444,1.2898148657246367,1.0,0.25507086515426636,0.5921554565429688,0.9699661254882812,0.5,0.5921554565429688,0.9699661254882812,0.5
10,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1381979675292969,0.27402709960937505,0.08120135498046877,0.1393502928003288,0.9422583880531922,0.7666666666666667,0.37883006718142526,0.13243100156761484,0.9367728723549836,0.7666666666666667,0.37637698063083735,0.5,18.522452690567,1.2227086228964918,1.0,0.0521731972694397,0.5691165924072266,0.9774745941162108,0.5,0.5691165924072266,0.9774745941162108,0.5
11,adaptive,11285,user_11285,zpd,advancing,6,3,1,0.5,,,,,,6,0.13864847564697266,0.2680203247070313,0.08090101623535156,0.13243100156761484,0.9367728723549836,0.7666666666666667,0.37637698063083735,0.1215026602541858,0.9062855204604688,0.7583333333333334,0.40141370455696157,0.75,17.96652235207881,4.480348572070285,1.0,0.05365927889943123,0.5101707776387533,0.9831059455871581,0.5,0.5101707776387533,0.9831059455871581,0.5
12,adaptive,11285,user_11285,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.1389863567352295,0.2635152435302735,0.08067576217651368,0.1215026602541858,0.9062855204604688,0.7583333333333334,0.40141370455696157,0.31644933490463284,0.9706524807876991,0.7833333333333334,0.3959941267887312,0.5,12.680248210199391,3.6475105868789,1.0,0.0023949146270751953,0.6326280832290649,0.9873294591903686,0.5,0.6326280832290649,0.9873294591903686,0.5
13,adaptive,11285,user_11285,zpd,advancing,6,3,1,0.5,,,,,,6,0.13923976755142214,0.2601364326477051,0.08050682163238526,0.31644933490463284,0.9706524807876991,0.7833333333333334,0.3959941267887312,0.1729441289637017,0.9412097372285717,0.7750000000000001,0.39718820451587894,0.75,15.22733579148937,3.689165534060309,1.0,0.003744105575606227,0.5578043957551321,0.9904970943927764,0.5,0.5578043957551321,0.9904970943927764,0.5
