round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,linucb,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.7,0.8,0.7,0.3,0.598423166217463,0.7933341128657303,0.7,0.333317742685395,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,linucb,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.598423166217463,0.7933341128657303,0.7,0.333317742685395,0.3372057523204881,0.7129359291348519,0.6749999999999999,0.3829636746175675,0.5,15.578430952863682,1.774471210934965,1.0,,0.375,0.7749999999999999,0.5,0.375,0.7749999999999999,0.5
3,linucb,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.3372057523204881,0.7129359291348519,0.6749999999999999,0.3829636746175675,0.3155485264502695,0.7002399239666299,0.6749999999999999,0.4289201033644402,0.5,11.689670874559102,0.7935907950761703,1.0,,0.40625,0.8312499999999999,0.5,0.40625,0.8312499999999999,0.5
4,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.3155485264502695,0.7002399239666299,0.6749999999999999,0.4289201033644402,0.2136240772808662,0.6157152908974339,0.6499999999999999,0.4404926613839182,0.25,11.323964193221023,3.307418948044888,1.0,,0.3046875,0.8734375,0.5,0.3046875,0.8734375,0.5
5,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.2136240772808662,0.6157152908974339,0.6499999999999999,0.4404926613839182,0.10796542848161732,0.5303561858291949,0.6249999999999999,0.432182101364779,0.25,12.880424959069607,2.1428500205709784,1.0,,0.228515625,0.905078125,0.5,0.228515625,0.905078125,0.5
6,linucb,11285,user_11285,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.10796542848161732,0.5303561858291949,0.6249999999999999,0.432182101364779,0.21292864436140563,0.5866488802169745,0.6499999999999999,0.424146112244408,0.25,11.487083411362955,5.244031127119548,1.0,,0.42138671875,0.9288085937499999,0.5,0.42138671875,0.9288085937499999,0.5
7,linucb,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.21292864436140563,0.5866488802169745,0.6499999999999999,0.424146112244408,0.17739757332818212,0.5737525256925153,0.6499999999999999,0.4079270904891817,0.5,13.697293037573893,1.709695357074618,1.0,,0.4410400390625,0.9466064453124999,0.5,0.4410400390625,0.9466064453124999,0.5
8,linucb,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.17739757332818212,0.5737525256925153,0.6499999999999999,0.4079270904891817,0.20510729596951643,0.5596033077277041,0.6499999999999999,0.4329843592962237,0.5,12.259635801284931,2.7389489253626906,1.0,,0.455780029296875,0.959954833984375,0.5,0.455780029296875,0.959954833984375,0.5
9,linucb,11285,user_11285,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.20510729596951643,0.5596033077277041,0.6499999999999999,0.4329843592962237,0.3039314605636763,0.6169114787497338,0.6749999999999999,0.4288365795594055,0.25,7.758490646678958,2.973817941734038,1.0,,0.5918350219726562,0.9699661254882812,0.5,0.5918350219726562,0.9699661254882812,0.5
10,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.3039314605636763,0.6169114787497338,0.6749999999999999,0.4288365795594055,0.21256006058427387,0.5319789627028063,0.6499999999999999,0.44865032093854806,0.25,14.45476041652738,7.624678206973775,1.0,,0.4438762664794922,0.9774745941162108,0.5,0.4438762664794922,0.9774745941162108,0.5
11,linucb,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.21256006058427387,0.5319789627028063,0.6499999999999999,0.44865032093854806,0.19735176616347952,0.5166506125591055,0.6499999999999999,0.4565670028740153,0.5,11.519092357203347,0.9405730465558553,1.0,,0.45790719985961914,0.9831059455871581,0.5,0.45790719985961914,0.9831059455871581,0.5
12,linucb,11285,user_11285,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.19735176616347952,0.5166506125591055,0.6499999999999999,0.4565670028740153,0.31947855980565,0.5715723553623633,0.6749999999999999,0.4765651439348456,0.25,10.522383093179705,1.4926535649966037,1.0,,0.5934303998947144,0.9873294591903686,0.5,0.5934303998947144,0.9873294591903686,0.5
13,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.31947855980565,0.5715723553623633,0.6749999999999999,0.4765651439348456,0.21431494819050512,0.48496864710540555,0.6499999999999999,0.4820741651391525,0.25,13.279369297178253,2.8612374991606693,1.0,,0.44507279992103577,0.9904970943927764,0.5,0.44507279992103577,0.9904970943927764,0.5
14,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.21431494819050512,0.48496864710540555,0.6499999999999999,0.4820741651391525,0.1362261182851426,0.39612387813739736,0.6249999999999999,0.5018953793601636,0.25,9.42098363500132,2.927301619045835,1.0,,0.3338045999407768,0.9928728207945823,0.5,0.3338045999407768,0.9928728207945823,0.5
15,linucb,11285,user_11285,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.1362261182851426,0.39612387813739736,0.6249999999999999,0.5018953793601636,0.23003391284101418,0.4495236232395626,0.6499999999999999,0.48200509795669627,0.25,10.78680063524697,4.172950782334541,1.0,,0.5003534499555826,0.9946546155959367,0.5,0.5003534499555826,0.9946546155959367,0.5
16,linucb,11285,user_11285,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.23003391284101418,0.4495236232395626,0.6499999999999999,0.48200509795669627,0.33724904727261124,0.5036774234240029,0.6749999999999999,0.4919239963111919,0.25,13.40230438671026,2.508541861597454,1.0,,0.625265087466687,0.9959909616969526,0.5,0.625265087466687,0.9959909616969526,0.5
17,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.33724904727261124,0.5036774234240029,0.6749999999999999,0.4919239963111919,0.22573182009067178,0.4164516651420043,0.6499999999999999,0.49451516563997117,0.25,12.464775222424214,2.2101759355017827,1.0,,0.4689488156000152,0.9969932212727144,0.5,0.4689488156000152,0.9969932212727144,0.5
18,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.22573182009067178,0.4164516651420043,0.6499999999999999,0.49451516563997117,0.1463954348053745,0.32696340688013076,0.6249999999999999,0.5147651652374712,0.25,10.935151410877717,2.7741550096989704,1.0,,0.3517116117000114,0.9977449159545357,0.5,0.3517116117000114,0.9977449159545357,0.5
19,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.1463954348053745,0.32696340688013076,0.6249999999999999,0.5147651652374712,0.06461143694282513,0.2361005221971982,0.5999999999999999,0.5172576936586517,0.25,10.297205970625726,3.38008495883889,1.0,,0.26378370877500856,0.9983086869659018,0.5,0.26378370877500856,0.9983086869659018,0.5
20,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.06461143694282513,0.2361005221971982,0.5999999999999999,0.5172576936586517,0.0005448957206456242,0.2,0.5749999999999998,0.5325648464474573,0.25,7.887368008491965,1.6172380443310779,1.0,,0.19783778158125642,0.9987315152244264,0.5,0.19783778158125642,0.9987315152244264,0.5
21,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.0005448957206456242,0.2,0.5749999999999998,0.5325648464474573,0.0,0.2,0.5499999999999998,0.5440525804812437,0.25,5.844510444141388,2.7055057282643364,1.0,,0.14837833618594232,0.9990486364183198,0.5,0.14837833618594232,0.9990486364183198,0.5
22,linucb,11285,user_11285,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.2,0.5499999999999998,0.5440525804812437,0.1341948478183829,0.24644695051656057,0.5749999999999998,0.5460609896687885,0.25,9.704866669592448,1.789536436442576,1.0,,0.36128375213945674,0.9992864773137398,0.5,0.36128375213945674,0.9992864773137398,0.5
23,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.1341948478183829,0.24644695051656057,0.5749999999999998,0.5460609896687885,0.03336535959288673,0.2,0.5499999999999998,0.5281297396687884,0.25,10.300193399275159,1.2014084270544707,1.0,,0.27096281410459255,0.9994648579853048,0.5,0.27096281410459255,0.9994648579853048,0.5
24,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.03336535959288673,0.2,0.5499999999999998,0.5281297396687884,0.0,0.2,0.5249999999999998,0.5353334417946479,0.25,9.549268106858673,3.29499759979325,1.0,,0.20322211057844441,0.9995986434889786,0.5,0.20322211057844441,0.9995986434889786,0.5
25,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.2,0.5249999999999998,0.5353334417946479,0.0,0.2,0.4999999999999998,0.5196818156332659,0.25,5.128275697641121,5.306977808883187,1.0,,0.1524165829338333,0.999698982616734,0.5,0.1524165829338333,0.999698982616734,0.5
26,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.2,0.4999999999999998,0.5196818156332659,0.0,0.2,0.47499999999999976,0.5275654226223204,0.25,4.095824400954996,7.018751615224928,1.0,,0.11431243720037498,0.9997742369625504,0.5,0.11431243720037498,0.9997742369625504,0.5
27,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.2,0.47499999999999976,0.5275654226223204,0.0,0.2,0.44999999999999973,0.5476634395145632,0.25,6.614180809478691,3.1490722622112135,1.0,,0.08573432790028124,0.9998306777219128,0.5,0.08573432790028124,0.9998306777219128,0.5
28,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.2,0.44999999999999973,0.5476634395145632,0.0,0.2,0.4249999999999997,0.5700742559877465,0.25,6.81685722232834,4.976518509630864,1.0,,0.06430074592521093,0.9998730082914347,0.5,0.06430074592521093,0.9998730082914347,0.5
29,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.2,0.4249999999999997,0.5700742559877465,0.0,0.2,0.3999999999999997,0.5702996193087381,0.25,7.379466486813088,3.8331837551286116,1.0,,0.048225559443908196,0.999904756218576,0.5,0.048225559443908196,0.999904756218576,0.5
30,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.2,0.3999999999999997,0.5702996193087381,0.0,0.2,0.37499999999999967,0.552499619308738,0.25,5.571622774424536,1.4764236094086,1.0,,0.03616916958293115,0.999928567163932,0.5,0.03616916958293115,0.999928567163932,0.5
31,linucb,11285,user_11285,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.2,0.37499999999999967,0.552499619308738,0.14083374795054204,0.23677984551945228,0.3999999999999997,0.5644030896109544,0.25,6.872550894392051,3.3082416549700397,1.0,,0.27712687718719836,0.999946425372949,0.5,0.27712687718719836,0.999946425372949,0.5
32,linucb,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.14083374795054204,0.23677984551945228,0.3999999999999997,0.5644030896109544,0.07218417758334407,0.2,0.37499999999999967,0.5880576386155209,0.25,5.552870906441412,1.0745354973567407,1.0,,0.20784515789039876,0.9999598190297118,0.5,0.20784515789039876,0.9999598190297118,0.5
