round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,adaptive,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.11600000000000002,0.5700000000000001,0.096,0.7,0.8,0.7,0.3,0.5746726696323754,0.7945174767344565,0.7,0.3096504653108717,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,adaptive,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.122,0.49000000000000005,0.09200000000000001,0.5746726696323754,0.7945174767344565,0.7,0.3096504653108717,0.4307079322003642,0.7899216997231298,0.7,0.2919155402265339,0.5,15.590264591550943,1.7227709856808833,1.0,0.06609335541725159,0.5,0.7749999999999999,0.5,0.5,0.7749999999999999,0.5
3,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1265,0.43000000000000005,0.08900000000000001,0.4307079322003642,0.7899216997231298,0.7,0.2919155402265339,0.371313691708009,0.7853613725061686,0.7,0.29120654433922444,0.5,12.822933673905379,3.1890959475175675,1.0,0.14465296268463135,0.5,0.8312499999999999,0.5,0.5,0.8312499999999999,0.5
4,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.12987500000000002,0.38500000000000006,0.08675000000000001,0.371313691708009,0.7853613725061686,0.7,0.29120654433922444,0.3112455110706518,0.7803900304049384,0.7,0.29942684202460446,0.5,12.895265249371105,3.3873290251133437,1.0,0.04041293263435364,0.5,0.8734375,0.5,0.5,0.8734375,0.5
5,adaptive,11285,user_11285,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.13240625000000003,0.35125,0.0850625,0.3112455110706518,0.7803900304049384,0.7,0.29942684202460446,0.49823182246937076,0.8441302111976613,0.725,0.3501963841455424,0.5,11.963118693914632,10.11482022880545,1.0,0.2084825336933136,0.625,0.905078125,0.5,0.625,0.905078125,0.5
6,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1343046875,0.32593750000000005,0.083796875,0.49823182246937076,0.8441302111976613,0.725,0.3501963841455424,0.3900319820974856,0.8384131337275069,0.725,0.33934154940308675,0.5,16.272106347380763,2.198957318521431,1.0,0.013981401920318604,0.59375,0.9288085937499999,0.5,0.59375,0.9288085937499999,0.5
7,adaptive,11285,user_11285,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.13572851562500002,0.30695312500000005,0.08284765625000001,0.3900319820974856,0.8384131337275069,0.725,0.33934154940308675,0.514212521137929,0.9038811828676788,0.75,0.34063901719656214,0.5,15.075167225052601,0.20883144282712887,1.0,0.02281394600868225,0.6953125,0.9466064453124999,0.5,0.6953125,0.9466064453124999,0.5
8,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13679638671875002,0.29271484375000006,0.08213574218750001,0.514212521137929,0.9038811828676788,0.75,0.34063901719656214,0.43098875387699204,0.8983236517952323,0.75,0.36115062144892845,0.5,15.15927224855884,4.568146123364907,1.0,0.004800736904144287,0.646484375,0.959954833984375,0.5,0.646484375,0.959954833984375,0.5
9,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13759729003906251,0.2820361328125,0.081601806640625,0.43098875387699204,0.8983236517952323,0.75,0.36115062144892845,0.37598488511038847,0.8924358924454283,0.75,0.36775518699607884,0.5,17.751267955817678,1.2985637693735355,1.0,0.018177807331085205,0.60986328125,0.9699661254882812,0.5,0.60986328125,0.9699661254882812,0.5
10,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1381979675292969,0.27402709960937505,0.08120135498046877,0.37598488511038847,0.8924358924454283,0.75,0.36775518699607884,0.3575997710354377,0.885342308739838,0.75,0.3918716741118044,0.5,13.35785233978181,3.594463510989078,1.0,0.007376313209533691,0.5823974609375,0.9774745941162108,0.5,0.5823974609375,0.9774745941162108,0.5
11,adaptive,11285,user_11285,zpd,advancing,6,2,0,0.3333333333333333,,,,,,6,0.13864847564697266,0.2680203247070313,0.08090101623535156,0.3575997710354377,0.885342308739838,0.75,0.3918716741118044,0.1302378730496808,0.8065878707771762,0.725,0.4000887592532347,0.5,17.23487759962566,0.832113787339965,1.0,0.017135202884674072,0.436798095703125,0.9831059455871581,0.5,0.436798095703125,0.9831059455871581,0.5
12,adaptive,11285,user_11285,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.1389863567352295,0.2635152435302735,0.08067576217651368,0.1302378730496808,0.8065878707771762,0.725,0.4000887592532347,0.32054014409264486,0.8694816473406375,0.75,0.3921244687307737,0.5,11.683271713366466,3.643542648995687,1.0,0.017560869455337524,0.5775985717773438,0.9873294591903686,0.5,0.5775985717773438,0.9873294591903686,0.5
13,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13923976755142214,0.2601364326477051,0.08050682163238526,0.32054014409264486,0.8694816473406375,0.75,0.3921244687307737,0.2916264441271281,0.8626827907960452,0.75,0.38597713089184565,0.5,14.215627457018755,3.6774852263136086,1.0,0.051721274852752686,0.5581989288330078,0.9904970943927764,0.5,0.5581989288330078,0.9904970943927764,0.5
