round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,adaptive,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.11600000000000002,0.5700000000000001,0.096,0.7,0.8,0.7,0.3,0.5766486731300293,0.7943882187835203,0.7,0.31223562432959584,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,adaptive,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.122,0.49000000000000005,0.09200000000000001,0.5766486731300293,0.7943882187835203,0.7,0.31223562432959584,0.4314844204574011,0.7897046230719349,0.7,0.29367191423170896,0.5,15.588972012041582,1.7284148043780634,1.0,0.11759641766548157,0.5,0.7749999999999999,0.5,0.5,0.7749999999999999,0.5
3,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1265,0.43000000000000005,0.08900000000000001,0.4314844204574011,0.7897046230719349,0.7,0.29367191423170896,0.3653693521094192,0.7854006736456055,0.7,0.2860789885265885,0.5,12.82076290739343,3.1943245107033587,1.0,0.039483100175857544,0.5,0.8312499999999999,0.5,0.5,0.8312499999999999,0.5
4,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.12987500000000002,0.38500000000000006,0.08675000000000001,0.3653693521094192,0.7854006736456055,0.7,0.2860789885265885,0.3212470868255945,0.7798096564201357,0.7,0.3118203445093972,0.5,12.895658260765476,3.3716300403988186,1.0,0.03260675072669983,0.5,0.8734375,0.5,0.5,0.8734375,0.5
5,adaptive,11285,user_11285,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.13240625000000003,0.35125,0.0850625,0.3212470868255945,0.7798096564201357,0.7,0.3118203445093972,0.5121613316126438,0.8425186392341658,0.725,0.3708203437193972,0.5,11.957314954066605,10.170680421116765,1.0,0.10391771793365479,0.625,0.905078125,0.5,0.625,0.905078125,0.5
6,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1343046875,0.32593750000000005,0.083796875,0.5121613316126438,0.8425186392341658,0.725,0.3708203437193972,0.40908832134973894,0.8353558895533666,0.725,0.3682549936159848,0.5,16.255990627745806,2.2487384799403873,1.0,0.18969818949699402,0.59375,0.9288085937499999,0.5,0.59375,0.9288085937499999,0.5
7,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13572851562500002,0.30695312500000005,0.08284765625000001,0.40908832134973894,0.8353558895533666,0.725,0.3682549936159848,0.34819515442342386,0.8272566186975095,0.725,0.3869854171171411,0.5,15.044594783311199,0.2277852566299965,1.0,0.011602252721786499,0.5703125,0.9466064453124999,0.5,0.5703125,0.9466064453124999,0.5
8,adaptive,11285,user_11285,zpd,advancing,6,1,1,0.16666666666666666,,,,,,6,0.13679638671875002,0.29271484375000006,0.08213574218750001,0.34819515442342386,0.8272566186975095,0.725,0.3869854171171411,0.41679607055992546,0.8913095353416525,0.75,0.36894166711714105,0.25,14.393026606857148,4.725152334836626,1.0,0.004726409912109375,0.677734375,0.959954833984375,0.5,0.677734375,0.959954833984375,0.5
9,adaptive,11285,user_11285,zpd,advancing,6,2,0,0.3333333333333333,,,,,,6,0.13759729003906251,0.2820361328125,0.081601806640625,0.41679607055992546,0.8913095353416525,0.75,0.36894166711714105,0.17092889167333572,0.8139430511020664,0.725,0.3723296847917182,0.5,13.309439666717138,2.645282201553167,1.0,0.053225576877593994,0.50830078125,0.9699661254882812,0.5,0.50830078125,0.9699661254882812,0.5
10,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1381979675292969,0.27402709960937505,0.08120135498046877,0.17092889167333572,0.8139430511020664,0.725,0.3723296847917182,0.16593764778451345,0.807428251540119,0.725,0.3552959912389491,0.5,15.086615372291028,1.0886628107033804,1.0,0.000268399715423584,0.5062255859375,0.9774745941162108,0.5,0.5062255859375,0.9774745941162108,0.5
11,adaptive,11285,user_11285,zpd,advancing,6,2,0,0.3333333333333333,,,,,,6,0.13864847564697266,0.2680203247070313,0.08090101623535156,0.16593764778451345,0.807428251540119,0.725,0.3552959912389491,0.0,0.7289569134537306,0.7,0.36942676172776795,0.5,11.194199620033594,0.9288874815802315,1.0,0.0013779103755950928,0.379669189453125,0.9831059455871581,0.5,0.379669189453125,0.9831059455871581,0.5
12,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1389863567352295,0.2635152435302735,0.08067576217651368,0.0,0.7289569134537306,0.7,0.36942676172776795,0.11683154697301056,0.7210506965567479,0.7,0.35812433793965454,0.5,11.86086629848457,2.633873826781441,1.0,0.0001741647720336914,0.40975189208984375,0.9873294591903686,0.5,0.40975189208984375,0.9873294591903686,0.5
13,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13923976755142214,0.2601364326477051,0.08050682163238526,0.11683154697301056,0.7210506965567479,0.7,0.35812433793965454,0.12854317376078478,0.7139223640138201,0.7,0.34256665085855675,0.5,10.470764852134886,3.409241879155819,1.0,0.0017271339893341064,0.4323139190673828,0.9904970943927764,0.5,0.4323139190673828,0.9904970943927764,0.5
14,adaptive,11285,user_11285,zpd,advancing,6,2,0,0.3333333333333333,,,,,,6,0.1394298256635666,0.25760232448577886,0.08038011622428895,0.12854317376078478,0.7139223640138201,0.7,0.34256665085855675,0.0,0.6363465314708923,0.6749999999999999,0.32651665085855675,0.5,14.104168470624572,1.0328856189725266,1.0,0.00021836161613464355,0.3242354393005371,0.9928728207945823,0.5,0.3242354393005371,0.9928728207945823,0.5
15,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13957236924767497,0.25570174336433416,0.08028508716821671,0.0,0.6363465314708923,0.6749999999999999,0.32651665085855675,0.040343717948040675,0.6277494347951973,0.6749999999999999,0.34694193351390007,0.5,12.825372760599187,0.694207579303649,1.0,0.01938796043395996,0.36817657947540283,0.9946546155959367,0.5,0.36817657947540283,0.9946546155959367,0.5
16,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1396792769357562,0.25427630752325064,0.08021381537616254,0.040343717948040675,0.6277494347951973,0.6749999999999999,0.34694193351390007,0.12146196454162365,0.6193301955506125,0.6749999999999999,0.34338478489169494,0.5,19.982957329261414,2.917180536245534,1.0,0.0003396570682525635,0.4011324346065521,0.9959909616969526,0.5,0.4011324346065521,0.9959909616969526,0.5
17,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13975945770181716,0.25320723064243794,0.0801603615321219,0.12146196454162365,0.6193301955506125,0.6749999999999999,0.34338478489169494,0.13811410954107764,0.6112319050178816,0.6749999999999999,0.3369658106546194,0.5,10.40706140824768,1.8610498409362308,1.0,0.0003091394901275635,0.4258493259549141,0.9969932212727144,0.5,0.4258493259549141,0.9969932212727144,0.5
