round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.7,0.8,0.7,0.3,0.5682415893744717,0.7950173075995957,0.7,0.2996538480080884,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.5682415893744717,0.7950173075995957,0.7,0.2996538480080884,0.43555299466073916,0.7903758751242281,0.7,0.29282864950735027,0.5,15.595262900202334,1.7009546603590366,1.0,,0.5,0.7749999999999999,0.5,0.5,0.7749999999999999,0.5
3,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.43555299466073916,0.7903758751242281,0.7,0.29282864950735027,0.3324680253161209,0.786401164479165,0.7,0.2794942129012638,0.5,12.464070334452865,0.6720227441186816,1.0,,0.5,0.8312499999999999,0.5,0.5,0.8312499999999999,0.5
4,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.3324680253161209,0.786401164479165,0.7,0.2794942129012638,0.3073121029914627,0.7818882926901504,0.7,0.29025743578029284,0.5,12.185576598346373,2.882688974048749,1.0,,0.5,0.8734375,0.5,0.5,0.8734375,0.5
5,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.3073121029914627,0.7818882926901504,0.7,0.29025743578029284,0.2739988624486911,0.7780282778460063,0.7,0.2772002968828832,0.5,12.528643417691255,2.5265556060207537,1.0,,0.5,0.905078125,0.5,0.5,0.905078125,0.5
6,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.2739988624486911,0.7780282778460063,0.7,0.2772002968828832,0.04495715481535187,0.7035898653639145,0.6749999999999999,0.26376824964183443,0.5,12.163295572673688,1.643867717417714,1.0,,0.375,0.9288085937499999,0.5,0.375,0.9288085937499999,0.5
7,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.04495715481535187,0.7035898653639145,0.6749999999999999,0.26376824964183443,0.1245944486539385,0.6992872876746637,0.6749999999999999,0.2610515537850176,0.5,12.38057436044361,1.210733345846993,1.0,,0.40625,0.9466064453124999,0.5,0.40625,0.9466064453124999,0.5
8,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.1245944486539385,0.6992872876746637,0.6749999999999999,0.2610515537850176,0.1147392227655613,0.6951312179532667,0.6749999999999999,0.258121394427942,0.5,9.155330446148556,1.1171479795800745,1.0,,0.4296875,0.959954833984375,0.5,0.4296875,0.959954833984375,0.5
9,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.1147392227655613,0.6951312179532667,0.6749999999999999,0.258121394427942,0.10849757002047047,0.6913237354652199,0.6749999999999999,0.25114964976093807,0.5,14.455178244906216,3.7578276180221466,1.0,,0.447265625,0.9699661254882812,0.5,0.447265625,0.9699661254882812,0.5
10,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.10849757002047047,0.6913237354652199,0.6749999999999999,0.25114964976093807,0.10468189160492261,0.6875306884184935,0.6749999999999999,0.25086094093452654,0.5,10.78862992719999,1.3133728680373686,1.0,,0.46044921875,0.9774745941162108,0.5,0.46044921875,0.9774745941162108,0.5
11,als,11285,user_11285,zpd,advancing,5,2,2,0.4,,,,,,5,0.1,0.25,0.1,0.10468189160492261,0.6875306884184935,0.6749999999999999,0.25086094093452654,0.29818598490254156,0.7551752260041789,0.7,0.24710924828629507,0.5,15.489592392749792,2.23245237452905,1.0,,0.5953369140625,0.9831059455871581,0.5,0.5953369140625,0.9831059455871581,0.5
12,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.29818598490254156,0.7551752260041789,0.7,0.24710924828629507,0.25021074658041204,0.7525482452537378,0.7,0.2525396150088228,0.5,14.13789720663915,2.319097504546389,1.0,,0.571502685546875,0.9873294591903686,0.5,0.571502685546875,0.9873294591903686,0.5
13,als,11285,user_11285,zpd,advancing,5,2,2,0.4,,,,,,5,0.1,0.25,0.1,0.25021074658041204,0.7525482452537378,0.7,0.2525396150088228,0.4009757527124724,0.8214240129647032,0.725,0.24748464578069163,0.5,14.351044306410374,3.4039249794707773,1.0,,0.6786270141601562,0.9904970943927764,0.5,0.6786270141601562,0.9904970943927764,0.5
14,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.4009757527124724,0.8214240129647032,0.725,0.24748464578069163,0.31908662140906463,0.8203403240131947,0.725,0.2466737790301712,0.5,15.465574825177045,2.382701265872149,1.0,,0.6339702606201172,0.9928728207945823,0.5,0.6339702606201172,0.9928728207945823,0.5
15,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.31908662140906463,0.8203403240131947,0.725,0.2466737790301712,0.29935929985943827,0.8187898369250406,0.725,0.25600974176308056,0.5,15.91620082877889,1.422656022344672,0.5,,0.6004776954650879,0.9946546155959367,0.5,0.6004776954650879,0.9946546155959367,0.5
16,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.29935929985943827,0.8187898369250406,0.725,0.25600974176308056,0.08020982074617006,0.7458993909106609,0.7,0.2578089202875918,0.5,15.217968903667725,0.8410233077273882,1.0,,0.4503582715988159,0.9959909616969526,0.5,0.4503582715988159,0.9959909616969526,0.5
17,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.08020982074617006,0.7458993909106609,0.7,0.2578089202875918,0.0,0.6717192873406429,0.6749999999999999,0.25860207140036096,0.5,12.985356695626592,1.1368167928530937,1.0,,0.33776870369911194,0.9969932212727144,0.5,0.33776870369911194,0.9969932212727144,0.5
18,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.0,0.6717192873406429,0.6749999999999999,0.25860207140036096,0.0,0.5967022209878787,0.6499999999999999,0.25034132705528045,0.5,12.808336553214057,3.656162151061153,1.0,,0.25332652777433395,0.9977449159545357,0.5,0.25332652777433395,0.9977449159545357,0.5
19,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.0,0.5967022209878787,0.6499999999999999,0.25034132705528045,0.010425978704282315,0.592439789817515,0.6499999999999999,0.2352486234072735,0.5,13.698532598219032,2.6327704581578226,1.0,,0.31499489583075047,0.9983086869659018,0.5,0.31499489583075047,0.9983086869659018,0.5
20,als,11285,user_11285,zpd,advancing,5,2,2,0.4,,,,,,5,0.1,0.25,0.1,0.010425978704282315,0.592439789817515,0.6499999999999999,0.2352486234072735,0.22484459389431474,0.6596520603573502,0.6749999999999999,0.2307545892032978,0.5,14.458220196548396,3.2684636731615826,1.0,,0.48624617187306285,0.9987315152244264,0.5,0.48624617187306285,0.9987315152244264,0.5
21,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.22484459389431474,0.6596520603573502,0.6749999999999999,0.2307545892032978,0.20421760205975364,0.6562170499389633,0.6749999999999999,0.24370020836773865,0.5,9.736237847652237,4.68741883780164,0.5,,0.48968462890479714,0.9990486364183198,0.5,0.48968462890479714,0.9990486364183198,0.5
22,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.20421760205975364,0.6562170499389633,0.6749999999999999,0.24370020836773865,0.0014199452699609832,0.5816731072293536,0.6499999999999999,0.2408788541921926,0.5,15.734204131680338,2.549489541882849,0.5,,0.36726347167859785,0.9992864773137398,0.5,0.36726347167859785,0.9992864773137398,0.5
23,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.0014199452699609832,0.5816731072293536,0.6499999999999999,0.2408788541921926,0.0,0.5060979439816209,0.6249999999999999,0.23650326495465246,0.5,10.571332032652348,2.280394555487178,0.5,,0.2754476037589484,0.9994648579853048,0.5,0.2754476037589484,0.9994648579853048,0.5
24,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.0,0.5060979439816209,0.6249999999999999,0.23650326495465246,0.12056119673185632,0.5001848259154095,0.6249999999999999,0.24326236132422863,0.5,11.019176251887911,2.3056392116195585,1.0,,0.3315857028192113,0.9995986434889786,0.5,0.3315857028192113,0.9995986434889786,0.5
25,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.12056119673185632,0.5001848259154095,0.6249999999999999,0.24326236132422863,0.0,0.42298695010415904,0.5999999999999999,0.2439575162250087,0.5,10.381314745967183,2.8918061370404455,1.0,,0.24868927711440847,0.999698982616734,0.5,0.24868927711440847,0.999698982616734,0.5
26,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.0,0.42298695010415904,0.5999999999999999,0.2439575162250087,0.11912974390832565,0.4155355151124375,0.5999999999999999,0.2490286998344304,0.5,11.478109135145901,2.75470718200133,1.0,,0.31151695783580635,0.9997742369625504,0.5,0.31151695783580635,0.9997742369625504,0.5
27,als,11285,user_11285,zpd,advancing,5,2,2,0.4,,,,,,5,0.1,0.25,0.1,0.11912974390832565,0.4155355151124375,0.5999999999999999,0.2490286998344304,0.3052794048734101,0.47975769400701773,0.6249999999999999,0.24055642210839562,0.5,10.6427295741082,1.078742123047644,1.0,,0.48363771837685476,0.9998306777219128,0.5,0.48363771837685476,0.9998306777219128,0.5
28,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.3052794048734101,0.47975769400701773,0.6249999999999999,0.24055642210839562,0.27605140315458887,0.47405865871018044,0.6249999999999999,0.23898070593674567,0.5,11.419392071266186,0.6453651381988567,1.0,,0.4877282887826411,0.9998730082914347,0.5,0.4877282887826411,0.9998730082914347,0.5
29,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.27605140315458887,0.47405865871018044,0.6249999999999999,0.23898070593674567,0.22294679092491407,0.46868655695963624,0.6249999999999999,0.23244203501088306,0.5,13.80606441310696,2.6229536786700045,0.5,,0.4907962165869808,0.999904756218576,0.5,0.4907962165869808,0.999904756218576,0.5
30,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.22294679092491407,0.46868655695963624,0.6249999999999999,0.23244203501088306,0.2157954875834187,0.46332012900517555,0.6249999999999999,0.23232855908921365,0.5,14.993230484619474,1.9067254771978561,1.0,,0.4930971624402356,0.999928567163932,0.5,0.4930971624402356,0.999928567163932,0.5
31,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.2157954875834187,0.46332012900517555,0.6249999999999999,0.23232855908921365,0.003559930112639021,0.3871706393717217,0.5999999999999999,0.222989792669077,0.5,10.93398886300417,1.1024829923865134,1.0,,0.3698228718301767,0.999946425372949,0.5,0.3698228718301767,0.999946425372949,0.5
32,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.003559930112639021,0.3871706393717217,0.5999999999999999,0.222989792669077,0.02608528277119507,0.3810076997200054,0.5999999999999999,0.2232587930343256,0.5,12.23058663515979,2.536777570766274,0.0,,0.40236715387263255,0.9999598190297118,0.5,0.40236715387263255,0.9999598190297118,0.5
33,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.02608528277119507,0.3810076997200054,0.5999999999999999,0.2232587930343256,0.1207601197861184,0.3751591250080028,0.5999999999999999,0.21697149424005288,0.5,9.904038184729538,1.8755739472773982,0.5,,0.4267753654044744,0.9999698642722838,0.5,0.4267753654044744,0.9999698642722838,0.5
34,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.1207601197861184,0.3751591250080028,0.5999999999999999,0.21697149424005288,0.0,0.2986980183706555,0.5749999999999998,0.2042221327469455,0.5,12.853895201125075,2.5538163597896735,0.5,,0.3200815240533558,0.9999773982042128,0.5,0.3200815240533558,0.9999773982042128,0.5
35,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.0,0.2986980183706555,0.5749999999999998,0.2042221327469455,0.015271268468345188,0.2927233513484009,0.5749999999999998,0.19449334044509226,0.5,10.359083103703433,0.888690265872107,0.5,,0.36506114304001686,0.9999830486531596,0.5,0.36506114304001686,0.9999830486531596,0.5
36,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.015271268468345188,0.2927233513484009,0.5749999999999998,0.19449334044509226,0.0,0.2162985232153628,0.5499999999999998,0.17849656266076191,0.5,5.5204686347736995,2.8057912795477935,1.0,,0.27379585728001266,0.9999872864898697,0.5,0.27379585728001266,0.9999872864898697,0.5
37,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.0,0.2162985232153628,0.5499999999999998,0.17849656266076191,0.11605937038556878,0.21014281289485756,0.5499999999999998,0.17311420641010475,0.5,6.283225659498917,2.2337628722068192,0.5,,0.3303468929600095,0.9999904648674023,0.5,0.3303468929600095,0.9999904648674023,0.5
38,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.11605937038556878,0.21014281289485756,0.5499999999999998,0.17311420641010475,0.0,0.2,0.5249999999999998,0.16886259248282215,0.5,12.030878394781356,0.9686378978819408,1.0,,0.24776016972000714,0.9999928486505517,0.5,0.24776016972000714,0.9999928486505517,0.5
39,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.0,0.2,0.5249999999999998,0.16886259248282215,0.01318936104582012,0.2,0.5249999999999998,0.15954118160401434,0.5,10.733748534889049,0.4939513687662559,1.0,,0.31082012729000535,0.9999946364879138,0.5,0.31082012729000535,0.9999946364879138,0.5
40,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.01318936104582012,0.2,0.5249999999999998,0.15954118160401434,0.0,0.2,0.4999999999999998,0.14786247987755208,0.5,6.706854231514947,3.390729492498342,1.0,,0.23311509546750403,0.9999959773659353,0.5,0.23311509546750403,0.9999959773659353,0.5
41,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.0,0.2,0.4999999999999998,0.14786247987755208,0.0,0.2,0.47499999999999976,0.1396662210311639,0.5,7.619322643832784,0.7469205931281808,0.5,,0.174836321600628,0.9999969830244515,0.5,0.174836321600628,0.9999969830244515,0.5
42,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.0,0.2,0.47499999999999976,0.1396662210311639,0.11573342091365253,0.2,0.47499999999999976,0.13829823491220214,0.5,8.097043255889654,2.407133345420572,1.0,,0.25612724120047103,0.9999977372683386,0.5,0.25612724120047103,0.9999977372683386,0.5
43,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.11573342091365253,0.2,0.47499999999999976,0.13829823491220214,0.11757666246278117,0.2,0.47499999999999976,0.12126110534885705,0.5,9.502774246743577,1.7825506784240905,0.5,,0.3170954309003533,0.999998302951254,0.5,0.3170954309003533,0.999998302951254,0.5
44,als,11285,user_11285,zpd,advancing,5,2,2,0.4,,,,,,5,0.1,0.25,0.1,0.11757666246278117,0.2,0.47499999999999976,0.12126110534885705,0.2920056541990934,0.26465125307221643,0.4999999999999998,0.10697493855567147,0.5,6.696327784395682,1.6797933514100543,0.5,,0.487821573175265,0.9999987272134405,0.5,0.487821573175265,0.9999987272134405,0.5
45,als,11285,user_11285,zpd,advancing,5,2,2,0.4,,,,,,5,0.1,0.25,0.1,0.2920056541990934,0.26465125307221643,0.4999999999999998,0.10697493855567147,0.42274968400830776,0.33110316603158396,0.5249999999999998,0.09596174081264951,0.5,8.24042175863618,2.3337693610176964,1.0,,0.6158661798814488,0.9999990454100804,0.5,0.6158661798814488,0.9999990454100804,0.5
46,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.42274968400830776,0.33110316603158396,0.5249999999999998,0.09596174081264951,0.3607276614266604,0.3273340059664143,0.5249999999999998,0.10038320130339252,0.5,10.099935945072433,1.3959083167585447,1.0,,0.5868996349110865,0.9999992840575603,0.5,0.5868996349110865,0.9999992840575603,0.5
47,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.3607276614266604,0.3273340059664143,0.5249999999999998,0.10038320130339252,0.28072455887763503,0.32381896309647473,0.5249999999999998,0.09530085739879163,0.5,12.626214684214709,1.595013287615144,1.0,,0.5651747261833149,0.9999994630431702,0.5,0.5651747261833149,0.9999994630431702,0.5
48,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.28072455887763503,0.32381896309647473,0.5249999999999998,0.09530085739879163,0.24790275828965982,0.32063907925713275,0.5249999999999998,0.08859767678683912,0.5,8.319467831884259,3.221201964481713,1.0,,0.5488810446374861,0.9999995972823776,0.5,0.5488810446374861,0.9999995972823776,0.5
49,als,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.24790275828965982,0.32063907925713275,0.5249999999999998,0.08859767678683912,0.20899431168025298,0.3170574749021207,0.5249999999999998,0.09663208710024018,0.5,7.248863361006712,1.264841944407251,0.5,,0.5366607834781145,0.9999996979617832,0.5,0.5366607834781145,0.9999996979617832,0.5
50,als,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.20899431168025298,0.3170574749021207,0.5249999999999998,0.09663208710024018,0.0006212506243891473,0.24225227455796908,0.4999999999999998,0.09610400688303342,0.5,10.479306061729321,4.744747463175255,1.0,,0.4024955876085859,0.9999997734713374,0.5,0.4024955876085859,0.9999997734713374,0.5
