round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,fixed,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.7,0.8,0.7,0.3,0.5940546168734647,0.7934869637002249,0.7,0.33026072599550305,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,fixed,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.5940546168734647,0.7934869637002249,0.7,0.33026072599550305,0.31875590621362926,0.7141942971570182,0.6749999999999999,0.36085333086413196,0.5,15.579959461208627,1.7677894369261375,1.0,0.455146849155426,0.375,0.7749999999999999,0.5,0.375,0.7749999999999999,0.5
3,fixed,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.31875590621362926,0.7141942971570182,0.6749999999999999,0.36085333086413196,0.28566378685864235,0.7035083983160745,0.6749999999999999,0.38871797681887443,0.5,11.702254554780763,0.7633597195675401,1.0,0.02502286434173584,0.40625,0.8312499999999999,0.5,0.40625,0.8312499999999999,0.5
4,fixed,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.28566378685864235,0.7035083983160745,0.6749999999999999,0.38871797681887443,0.17161305538336386,0.6218637426258702,0.6499999999999999,0.38289311380408436,0.25,11.35664893671547,3.1936672618812794,1.0,0.004873514175415039,0.3046875,0.8734375,0.5,0.3046875,0.8734375,0.5
5,fixed,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.17161305538336386,0.6218637426258702,0.6499999999999999,0.38289311380408436,0.0036221237385785886,0.538350065810101,0.6249999999999999,0.3952735363153818,0.5,12.94190947635397,2.0121419489736514,1.0,0.02467876672744751,0.228515625,0.905078125,0.5,0.228515625,0.905078125,0.5
6,fixed,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.0036221237385785886,0.538350065810101,0.6249999999999999,0.3952735363153818,0.0,0.45423454510776684,0.5999999999999999,0.3823104140466834,0.25,7.408362828899224,2.4082308010812468,1.0,0.009029626846313477,0.17138671875,0.9288085937499999,0.5,0.17138671875,0.9288085937499999,0.5
7,fixed,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.0,0.45423454510776684,0.5999999999999999,0.3823104140466834,0.0,0.36586179997665313,0.5749999999999998,0.4424549026222731,0.5,11.199847670397038,3.7162648500226214,1.0,0.013923197984695435,0.1285400390625,0.9466064453124999,0.5,0.1285400390625,0.9466064453124999,0.5
8,fixed,11285,user_11285,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.36586179997665313,0.5749999999999998,0.4424549026222731,0.1154706003514343,0.4196356173455395,0.5999999999999999,0.4245236526222731,0.25,6.827876515665702,1.9696825903765562,1.0,0.013433456420898438,0.346405029296875,0.959954833984375,0.5,0.346405029296875,0.959954833984375,0.5
9,fixed,11285,user_11285,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.1154706003514343,0.4196356173455395,0.5999999999999999,0.4245236526222731,0.23205909734684277,0.4745688497464561,0.6249999999999999,0.4263353519816682,0.25,6.358813742857313,2.9511298810574362,1.0,0.015426337718963623,0.5098037719726562,0.9699661254882812,0.5,0.5098037719726562,0.9699661254882812,0.5
10,fixed,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.23205909734684277,0.4745688497464561,0.6249999999999999,0.4263353519816682,0.14893037988138857,0.38734090486673256,0.5999999999999999,0.44455889759447026,0.25,13.0313341264946,7.614698271917587,1.0,0.007560849189758301,0.3823528289794922,0.9774745941162108,0.5,0.3823528289794922,0.9774745941162108,0.5
