round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,adaptive,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.11600000000000002,0.5700000000000001,0.096,0.7,0.8,0.7,0.3,0.5996754414967964,0.7932127951178568,0.7,0.33574409764286417,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,adaptive,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.122,0.49000000000000005,0.09200000000000001,0.5996754414967964,0.7932127951178568,0.7,0.33574409764286417,0.45932889085831674,0.7868229812525882,0.7,0.32779627730537236,0.5,15.577217775384947,1.7797753362820865,1.0,0.9913127422332764,0.5,0.7749999999999999,0.5,0.5,0.7749999999999999,0.5
3,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1265,0.43000000000000005,0.08900000000000001,0.45932889085831674,0.7868229812525882,0.7,0.32779627730537236,0.38707106789501156,0.7808128136725756,0.7,0.3202033516002519,0.5,12.791946489199963,3.2957091274487746,1.0,0.10230046510696411,0.5,0.8312499999999999,0.5,0.5,0.8312499999999999,0.5
4,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.12987500000000002,0.38500000000000006,0.08675000000000001,0.38707106789501156,0.7808128136725756,0.7,0.3202033516002519,0.3334481533836165,0.773766139977581,0.7,0.34093347389989126,0.5,12.849779661035177,3.4759222562562018,1.0,0.04859936237335205,0.5,0.8734375,0.5,0.5,0.8734375,0.5
5,adaptive,11285,user_11285,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.13240625000000003,0.35125,0.0850625,0.3334481533836165,0.773766139977581,0.7,0.34093347389989126,0.521974801307322,0.8350319526922655,0.725,0.3996837457063117,0.5,11.896879789641059,10.301451767486583,1.0,0.5607486367225647,0.625,0.905078125,0.5,0.625,0.905078125,0.5
6,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1343046875,0.32593750000000005,0.083796875,0.521974801307322,0.8350319526922655,0.725,0.3996837457063117,0.43941918864232804,0.8252373773711058,0.725,0.42089150642319345,0.5,16.181123762326806,2.3184023772175557,1.0,0.026906698942184448,0.59375,0.9288085937499999,0.5,0.59375,0.9288085937499999,0.5
7,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13572851562500002,0.30695312500000005,0.08284765625000001,0.43941918864232804,0.8252373773711058,0.725,0.42089150642319345,0.39236429496819963,0.8134323690300518,0.725,0.4611001668210797,0.5,14.943409661488591,0.2638707444817258,1.0,0.08193331956863403,0.5703125,0.9466064453124999,0.5,0.5703125,0.9466064453124999,0.5
8,adaptive,11285,user_11285,zpd,advancing,6,1,1,0.16666666666666666,,,,,,6,0.13679638671875002,0.29271484375000006,0.08213574218750001,0.39236429496819963,0.8134323690300518,0.725,0.4611001668210797,0.4903273562426985,0.8719299905872251,0.75,0.48004756885653344,0.25,14.25478411018257,4.974067358729649,1.0,0.0032811760902404785,0.677734375,0.959954833984375,0.5,0.677734375,0.959954833984375,0.5
9,adaptive,11285,user_11285,zpd,advancing,6,1,0,0.16666666666666666,,,,,,6,0.13759729003906251,0.2820361328125,0.081601806640625,0.4903273562426985,0.8719299905872251,0.75,0.48004756885653344,0.365380577155942,0.788756870791706,0.725,0.48846239591038104,0.25,13.115644219172864,2.935365982370312,1.0,0.0020433664321899414,0.50830078125,0.9699661254882812,0.5,0.50830078125,0.9699661254882812,0.5
10,adaptive,11285,user_11285,zpd,advancing,6,1,1,0.16666666666666666,,,,,,6,0.1381979675292969,0.27402709960937505,0.08120135498046877,0.365380577155942,0.788756870791706,0.725,0.48846239591038104,0.4272946299092017,0.847820195365823,0.75,0.4687335085176597,0.25,10.786241845784794,2.6160959935272423,1.0,0.293155312538147,0.6312255859375,0.9774745941162108,0.5,0.6312255859375,0.9774745941162108,0.5
