round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,adaptive,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.11600000000000002,0.5700000000000001,0.096,0.7,0.8,0.7,0.3,0.5993012357793086,0.7932127951178568,0.7,0.33574409764286417,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,adaptive,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.122,0.49000000000000005,0.09200000000000001,0.5993012357793086,0.7932127951178568,0.7,0.33574409764286417,0.44900695224745063,0.7873537757406079,0.7,0.3171803875449773,0.5,15.577217775384947,1.7797753362820865,1.0,1.0,0.5,0.7749999999999999,0.5,0.5,0.7749999999999999,0.5
3,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1265,0.43000000000000005,0.08900000000000001,0.44900695224745063,0.7873537757406079,0.7,0.3171803875449773,0.4011923509344948,0.7806163609623896,0.7,0.33474829556436764,0.5,12.79725443408016,3.2642092404329257,1.0,0.23310017585754395,0.5,0.8312499999999999,0.5,0.5,0.8312499999999999,0.5
4,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.12987500000000002,0.38500000000000006,0.08675000000000001,0.4011923509344948,0.7806163609623896,0.7,0.33474829556436764,0.34384301148113167,0.7728811707191201,0.7,0.3547038048653899,0.5,12.847815133933317,3.520245250407033,1.0,0.09413054585456848,0.5,0.8734375,0.5,0.5,0.8734375,0.5
5,adaptive,11285,user_11285,zpd,advancing,6,2,2,0.3333333333333333,,,,,,6,0.13240625000000003,0.35125,0.0850625,0.34384301148113167,0.7728811707191201,0.7,0.3547038048653899,0.5015469287220863,0.8352341119630624,0.725,0.37794117512115555,0.5,11.88803009705645,10.36308963025273,1.0,0.5269991159439087,0.625,0.905078125,0.5,0.625,0.905078125,0.5
6,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.1343046875,0.32593750000000005,0.083796875,0.5015469287220863,0.8352341119630624,0.725,0.37794117512115555,0.433460150267908,0.8258425308056349,0.725,0.412831623148551,0.5,16.183145355034775,2.265925679408404,1.0,0.2343457043170929,0.59375,0.9288085937499999,0.5,0.59375,0.9288085937499999,0.5
7,adaptive,11285,user_11285,zpd,advancing,6,2,1,0.3333333333333333,,,,,,6,0.13572851562500002,0.30695312500000005,0.08284765625000001,0.433460150267908,0.8258425308056349,0.725,0.412831623148551,0.3677211841878425,0.8155144284731495,0.725,0.43156204664970726,0.5,14.949461195833882,0.2582167379937346,1.0,0.013826638460159302,0.5703125,0.9466064453124999,0.5,0.5703125,0.9466064453124999,0.5
8,adaptive,11285,user_11285,zpd,advancing,6,1,1,0.16666666666666666,,,,,,6,0.13679638671875002,0.29271484375000006,0.08213574218750001,0.3677211841878425,0.8155144284731495,0.725,0.43156204664970726,0.43431842674094406,0.8773385136406642,0.75,0.41351829664970724,0.25,14.275604704613547,4.875167976187374,1.0,0.048891544342041016,0.677734375,0.959954833984375,0.5,0.677734375,0.959954833984375,0.5
9,adaptive,11285,user_11285,zpd,advancing,6,2,0,0.3333333333333333,,,,,,6,0.13759729003906251,0.2820361328125,0.081601806640625,0.43431842674094406,0.8773385136406642,0.75,0.41351829664970724,0.16634388501117234,0.7987188488081788,0.725,0.39739329664970724,0.5,13.169729449707255,2.761826428366169,1.0,0.05604285001754761,0.50830078125,0.9699661254882812,0.5,0.50830078125,0.9699661254882812,0.5
10,adaptive,11285,user_11285,zpd,advancing,6,1,0,0.16666666666666666,,,,,,6,0.1381979675292969,0.27402709960937505,0.08120135498046877,0.16634388501117234,0.7987188488081788,0.725,0.39739329664970724,0.07492268836161313,0.718896430273088,0.7,0.39644837070181316,0.25,14.934373349352152,1.130075041595603,1.0,0.03880429267883301,0.3812255859375,0.9774745941162108,0.5,0.3812255859375,0.9774745941162108,0.5
