round,mode,user_id,user_name,student_method,profile,tel_shown,tel_accepted,tel_correct,tel_accept_rate,accept_at4,novelty_rate,serendipity,dwell_s,latency_s,knob_top_k,knob_zpd_margin,knob_mmr_lambda,knob_novelty_bonus,pre_knowledge,pre_engagement,pre_trust,pre_fatigue,post_knowledge,post_engagement,post_trust,post_fatigue,tel_accept_at4,tel_dwell_s,tel_latency_s,tel_novelty_rate,tel_serendipity,pre_khat,pre_ehat,pre_u_unc,post_khat,post_ehat,post_u_unc
1,fixed,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.7,0.8,0.7,0.3,0.6089555375362274,0.7926462905412939,0.7,0.34707418917412275,0.5,13.548447399026928,4.562866512028211,1.0,,0.5,0.7,0.5,0.5,0.7,0.5
2,fixed,11285,user_11285,zpd,advancing,5,2,0,0.4,,,,,,5,0.1,0.25,0.1,0.6089555375362274,0.7926462905412939,0.7,0.34707418917412275,0.3266004916915982,0.7127214065804071,0.6749999999999999,0.3734976792177348,0.5,15.571552729619317,1.8045527249701845,1.0,0.966680645942688,0.375,0.7749999999999999,0.5,0.375,0.7749999999999999,0.5
3,fixed,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.3266004916915982,0.7127214065804071,0.6749999999999999,0.3734976792177348,0.2926271940732446,0.7013630806099799,0.6749999999999999,0.40216651940854514,0.5,11.687525649014653,0.7806168126464942,1.0,0.2229956090450287,0.40625,0.8312499999999999,0.5,0.40625,0.8312499999999999,0.5
4,fixed,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.2926271940732446,0.7013630806099799,0.6749999999999999,0.40216651940854514,0.19951199607464182,0.6178130595853025,0.6499999999999999,0.421000420493545,0.25,11.335195759654521,3.231759649381448,1.0,0.16934692859649658,0.3046875,0.8734375,0.5,0.3046875,0.8734375,0.5
5,fixed,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.19951199607464182,0.6178130595853025,0.6499999999999999,0.421000420493545,0.09379446863572247,0.533522678376394,0.6249999999999999,0.4108076241781695,0.25,12.901402645948293,2.0985921884885927,1.0,0.6942583322525024,0.228515625,0.905078125,0.5,0.228515625,0.905078125,0.5
6,fixed,11285,user_11285,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.09379446863572247,0.533522678376394,0.6249999999999999,0.4108076241781695,0.20964757870461445,0.5903576707464265,0.6499999999999999,0.41330015259935005,0.25,11.518748336834944,5.1700163574188585,1.0,0.12525784969329834,0.42138671875,0.9288085937499999,0.5,0.42138671875,0.9288085937499999,0.5
7,fixed,11285,user_11285,zpd,advancing,5,2,1,0.4,,,,,,5,0.1,0.25,0.1,0.20964757870461445,0.5903576707464265,0.6499999999999999,0.41330015259935005,0.20669664038974989,0.5759318610006091,0.6499999999999999,0.4385161949163485,0.5,13.734380942868412,1.6875971507948702,1.0,0.01358845829963684,0.4410400390625,0.9466064453124999,0.5,0.4410400390625,0.9466064453124999,0.5
8,fixed,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.20669664038974989,0.5759318610006091,0.6499999999999999,0.4385161949163485,0.1224039395828697,0.489549752640312,0.6249999999999999,0.4526421672059418,0.25,12.281429154365869,2.8186992286559156,1.0,0.030592143535614014,0.330780029296875,0.959954833984375,0.5,0.330780029296875,0.959954833984375,0.5
9,fixed,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.1224039395828697,0.489549752640312,0.6249999999999999,0.4526421672059418,0.053315465187826365,0.4009058781180698,0.5999999999999999,0.47287749044484273,0.25,10.746605694870786,2.7959862544072953,1.0,0.12977242469787598,0.24808502197265625,0.9699661254882812,0.5,0.24808502197265625,0.9699661254882812,0.5
10,fixed,11285,user_11285,zpd,advancing,5,1,0,0.2,,,,,,5,0.1,0.25,0.1,0.053315465187826365,0.4009058781180698,0.5999999999999999,0.47287749044484273,0.0,0.31098549690805927,0.5749999999999998,0.473407624200211,0.25,10.612153465847923,2.2076807101801763,1.0,0.03377103805541992,0.1860637664794922,0.9774745941162108,0.5,0.1860637664794922,0.9774745941162108,0.5
11,fixed,11285,user_11285,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.0,0.31098549690805927,0.5749999999999998,0.473407624200211,0.12891111821137607,0.36268058051226354,0.5999999999999999,0.4660983279159148,0.25,13.49076622070055,3.3896254862112336,1.0,0.019168317317962646,0.38954782485961914,0.9831059455871581,0.5,0.38954782485961914,0.9831059455871581,0.5
12,fixed,11285,user_11285,zpd,advancing,5,1,1,0.2,,,,,,5,0.1,0.25,0.1,0.12891111821137607,0.36268058051226354,0.5999999999999999,0.4660983279159148,0.225659508377071,0.4165510345741231,0.6249999999999999,0.44759091876280854,0.25,12.726674615157716,1.3765283042062633,1.0,0.013142824172973633,0.5421608686447144,0.9873294591903686,0.5,0.5421608686447144,0.9873294591903686,0.5
